phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.03899999999999999
"(0.0, 0.2)",-0.07073333333333331
"(0.0, 0.3)",-0.09939999999999997
"(0.0, 0.4)",-0.12446666666666664
"(0.0, 0.5)",-0.12919999999999998
"(0.0, 0.6)",-0.1252
"(0.0, 0.7)",-0.11560000000000004
"(0.0, 0.8)",-0.09153333333333338
"(0.0, 0.9)",-0.06406666666666672
"(0.0, 1.0)",-0.05886666666666671
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.031999999999999994
"(0.1, 0.2)",-0.06193333333333332
"(0.1, 0.3)",-0.08179999999999998
"(0.1, 0.4)",-0.10039999999999999
"(0.1, 0.5)",-0.11979999999999999
"(0.1, 0.6)",-0.11960000000000001
"(0.1, 0.7)",-0.11080000000000004
"(0.1, 0.8)",-0.08980000000000003
"(0.1, 0.9)",-0.06953333333333336
"(0.1, 1.0)",-0.05620000000000003
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.024933333333333328
"(0.2, 0.2)",-0.04946666666666666
"(0.2, 0.3)",-0.06666666666666665
"(0.2, 0.4)",-0.09126666666666665
"(0.2, 0.5)",-0.10106666666666667
"(0.2, 0.6)",-0.11780000000000002
"(0.2, 0.7)",-0.11273333333333335
"(0.2, 0.8)",-0.09020000000000003
"(0.2, 0.9)",-0.0798666666666667
"(0.2, 1.0)",-0.07153333333333335
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.01913333333333333
"(0.3, 0.2)",-0.03293333333333333
"(0.3, 0.3)",-0.05386666666666666
"(0.3, 0.4)",-0.07993333333333333
"(0.3, 0.5)",-0.09079999999999999
"(0.3, 0.6)",-0.10933333333333334
"(0.3, 0.7)",-0.10920000000000002
"(0.3, 0.8)",-0.09453333333333336
"(0.3, 0.9)",-0.09326666666666669
"(0.3, 1.0)",-0.08366666666666668
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.012466666666666664
"(0.4, 0.2)",-0.028866666666666662
"(0.4, 0.3)",-0.04206666666666666
"(0.4, 0.4)",-0.06606666666666666
"(0.4, 0.5)",-0.0888
"(0.4, 0.6)",-0.11066666666666669
"(0.4, 0.7)",-0.11613333333333337
"(0.4, 0.8)",-0.11066666666666668
"(0.4, 0.9)",-0.10400000000000002
"(0.4, 1.0)",-0.10173333333333334
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.009133333333333332
"(0.5, 0.2)",-0.015666666666666662
"(0.5, 0.3)",-0.04039999999999999
"(0.5, 0.4)",-0.050866666666666664
"(0.5, 0.5)",-0.078
"(0.5, 0.6)",-0.10780000000000002
"(0.5, 0.7)",-0.12353333333333336
"(0.5, 0.8)",-0.12153333333333335
"(0.5, 0.9)",-0.12006666666666667
"(0.5, 1.0)",-0.11333333333333334
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.004599999999999999
"(0.6, 0.2)",-0.008533333333333332
"(0.6, 0.3)",-0.02693333333333333
"(0.6, 0.4)",-0.05346666666666666
"(0.6, 0.5)",-0.07006666666666667
"(0.6, 0.6)",-0.09300000000000001
"(0.6, 0.7)",-0.12380000000000002
"(0.6, 0.8)",-0.13266666666666668
"(0.6, 0.9)",-0.13526666666666667
"(0.6, 1.0)",-0.14953333333333335
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.003866666666666666
"(0.7, 0.2)",-0.0009999999999999996
"(0.7, 0.3)",-0.02713333333333333
"(0.7, 0.4)",-0.034
"(0.7, 0.5)",-0.06473333333333334
"(0.7, 0.6)",-0.07906666666666667
"(0.7, 0.7)",-0.11033333333333335
"(0.7, 0.8)",-0.1442
"(0.7, 0.9)",-0.15973333333333334
"(0.7, 1.0)",-0.15913333333333332
"(0.8, 0.0)",0
"(0.8, 0.1)",0.00033333333333333327
"(0.8, 0.2)",-0.00993333333333333
"(0.8, 0.3)",-0.005266666666666667
"(0.8, 0.4)",-0.03413333333333333
"(0.8, 0.5)",-0.04673333333333334
"(0.8, 0.6)",-0.07500000000000001
"(0.8, 0.7)",-0.08493333333333333
"(0.8, 0.8)",-0.12146666666666667
"(0.8, 0.9)",-0.146
"(0.8, 1.0)",-0.1688
"(0.9, 0.0)",0
"(0.9, 0.1)",0.00019999999999999985
"(0.9, 0.2)",-0.0025333333333333328
"(0.9, 0.3)",-0.008266666666666665
"(0.9, 0.4)",-0.022066666666666665
"(0.9, 0.5)",-0.025800000000000003
"(0.9, 0.6)",-0.054200000000000005
"(0.9, 0.7)",-0.0786
"(0.9, 0.8)",-0.11533333333333333
"(0.9, 0.9)",-0.1443333333333333
"(0.9, 1.0)",-0.14413333333333334
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.0005333333333333333
"(1.0, 0.2)",-0.004933333333333332
"(1.0, 0.3)",-0.005466666666666666
"(1.0, 0.4)",-0.0164
"(1.0, 0.5)",-0.030800000000000004
"(1.0, 0.6)",-0.04793333333333334
"(1.0, 0.7)",-0.07433333333333333
"(1.0, 0.8)",-0.10146666666666668
"(1.0, 0.9)",-0.13419999999999999
"(1.0, 1.0)",-0.12786666666666666
