phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.014266666666666664
"(0.1, 0.1)",-0.01173333333333333
"(0.1, 0.2)",-0.01253333333333333
"(0.1, 0.3)",-0.006133333333333332
"(0.1, 0.4)",-0.0050666666666666655
"(0.1, 0.5)",-0.006799999999999999
"(0.1, 0.6)",-0.0025999999999999994
"(0.1, 0.7)",-0.0031333333333333326
"(0.1, 0.8)",-0.0018666666666666662
"(0.1, 0.9)",0.0005333333333333333
"(0.1, 1.0)",-0.0008666666666666665
"(0.2, 0.0)",-0.01953333333333333
"(0.2, 0.1)",-0.014399999999999996
"(0.2, 0.2)",-0.020666666666666663
"(0.2, 0.3)",-0.01593333333333333
"(0.2, 0.4)",-0.011466666666666665
"(0.2, 0.5)",-0.008066666666666665
"(0.2, 0.6)",-0.005533333333333332
"(0.2, 0.7)",-0.0011333333333333332
"(0.2, 0.8)",0.002066666666666666
"(0.2, 0.9)",0.004266666666666666
"(0.2, 1.0)",-0.0023999999999999994
"(0.3, 0.0)",-0.015466666666666663
"(0.3, 0.1)",-0.025133333333333327
"(0.3, 0.2)",-0.020599999999999997
"(0.3, 0.3)",-0.01733333333333333
"(0.3, 0.4)",-0.014133333333333331
"(0.3, 0.5)",-0.013266666666666663
"(0.3, 0.6)",-0.005800000000000001
"(0.3, 0.7)",0.0008000000000000006
"(0.3, 0.8)",-0.0022666666666666664
"(0.3, 0.9)",-0.0017333333333333326
"(0.3, 1.0)",-0.0017999999999999989
"(0.4, 0.0)",-0.017999999999999995
"(0.4, 0.1)",-0.0124
"(0.4, 0.2)",-0.01573333333333333
"(0.4, 0.3)",-0.017999999999999995
"(0.4, 0.4)",-0.020066666666666663
"(0.4, 0.5)",-0.018199999999999997
"(0.4, 0.6)",-0.017199999999999997
"(0.4, 0.7)",-0.0102
"(0.4, 0.8)",-0.0062666666666666695
"(0.4, 0.9)",0.002533333333333333
"(0.4, 1.0)",-0.005133333333333335
"(0.5, 0.0)",-0.01673333333333333
"(0.5, 0.1)",-0.012066666666666665
"(0.5, 0.2)",-0.021533333333333328
"(0.5, 0.3)",-0.012599999999999998
"(0.5, 0.4)",-0.016666666666666666
"(0.5, 0.5)",-0.005199999999999998
"(0.5, 0.6)",-0.010933333333333333
"(0.5, 0.7)",-0.011999999999999999
"(0.5, 0.8)",-0.001533333333333335
"(0.5, 0.9)",-0.00019999999999999874
"(0.5, 1.0)",0.000400000000000002
"(0.6, 0.0)",-0.0027333333333333324
"(0.6, 0.1)",-0.005133333333333331
"(0.6, 0.2)",-0.009000000000000001
"(0.6, 0.3)",-6.666666666666332e-05
"(0.6, 0.4)",-0.0017333333333333374
"(0.6, 0.5)",-0.008599999999999998
"(0.6, 0.6)",0.0042
"(0.6, 0.7)",-0.01046666666666667
"(0.6, 0.8)",-0.0051333333333333335
"(0.6, 0.9)",0.005333333333333331
"(0.6, 1.0)",0.009133333333333334
"(0.7, 0.0)",-0.001933333333333331
"(0.7, 0.1)",0.0002666666666666659
"(0.7, 0.2)",0.009066666666666667
"(0.7, 0.3)",0.004933333333333333
"(0.7, 0.4)",0.008866666666666669
"(0.7, 0.5)",0.009266666666666666
"(0.7, 0.6)",0.004466666666666668
"(0.7, 0.7)",0.007666666666666675
"(0.7, 0.8)",-0.0006000000000000007
"(0.7, 0.9)",-0.007200000000000002
"(0.7, 1.0)",0.0030666666666666676
"(0.8, 0.0)",-0.002400000000000001
"(0.8, 0.1)",0.007666666666666668
"(0.8, 0.2)",0.0038666666666666637
"(0.8, 0.3)",0.013533333333333336
"(0.8, 0.4)",0.013733333333333334
"(0.8, 0.5)",0.007666666666666671
"(0.8, 0.6)",0.006133333333333332
"(0.8, 0.7)",0.00273333333333333
"(0.8, 0.8)",0.001533333333333334
"(0.8, 0.9)",0.006133333333333332
"(0.8, 1.0)",-0.004200000000000002
"(0.9, 0.0)",-0.0013333333333333355
"(0.9, 0.1)",0.003066666666666666
"(0.9, 0.2)",0.0102
"(0.9, 0.3)",0.009133333333333332
"(0.9, 0.4)",0.006066666666666669
"(0.9, 0.5)",0.0029333333333333373
"(0.9, 0.6)",0.005666666666666668
"(0.9, 0.7)",0.002200000000000001
"(0.9, 0.8)",0.010333333333333335
"(0.9, 0.9)",-0.003399999999999997
"(0.9, 1.0)",-0.00813333333333333
"(1.0, 0.0)",0.00013333333333333375
"(1.0, 0.1)",0.004266666666666666
"(1.0, 0.2)",0.008600000000000002
"(1.0, 0.3)",0.008133333333333331
"(1.0, 0.4)",0.0122
"(1.0, 0.5)",0.007733333333333334
"(1.0, 0.6)",0.00540000000000001
"(1.0, 0.7)",0.0038000000000000004
"(1.0, 0.8)",0.010199999999999999
"(1.0, 0.9)",0.00033333333333334015
"(1.0, 1.0)",-0.002133333333333327
