phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.017
"(0.1, 0.2)",-0.034
"(0.1, 0.3)",-0.038
"(0.1, 0.4)",-0.038
"(0.1, 0.5)",-0.01
"(0.1, 0.6)",-0.009
"(0.1, 0.7)",0
"(0.1, 0.8)",-0.009
"(0.1, 0.9)",0.004
"(0.1, 1.0)",-0.005
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.032
"(0.2, 0.2)",-0.087
"(0.2, 0.3)",-0.071
"(0.2, 0.4)",-0.067
"(0.2, 0.5)",-0.038
"(0.2, 0.6)",-0.041
"(0.2, 0.7)",0.001
"(0.2, 0.8)",-0.011
"(0.2, 0.9)",-0.011
"(0.2, 1.0)",0.006
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.068
"(0.3, 0.2)",-0.081
"(0.3, 0.3)",-0.114
"(0.3, 0.4)",-0.103
"(0.3, 0.5)",-0.073
"(0.3, 0.6)",-0.04
"(0.3, 0.7)",-0.045
"(0.3, 0.8)",-0.031
"(0.3, 0.9)",-0.012
"(0.3, 1.0)",-0.001
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.064
"(0.4, 0.2)",-0.077
"(0.4, 0.3)",-0.114
"(0.4, 0.4)",-0.126
"(0.4, 0.5)",-0.067
"(0.4, 0.6)",-0.058
"(0.4, 0.7)",-0.016
"(0.4, 0.8)",-0.016
"(0.4, 0.9)",-0.008
"(0.4, 1.0)",0.015
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.065
"(0.5, 0.2)",-0.101
"(0.5, 0.3)",-0.13
"(0.5, 0.4)",-0.15
"(0.5, 0.5)",-0.104
"(0.5, 0.6)",-0.044
"(0.5, 0.7)",-0.03
"(0.5, 0.8)",-0.005
"(0.5, 0.9)",-0.018
"(0.5, 1.0)",-0.003
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.079
"(0.6, 0.2)",-0.12
"(0.6, 0.3)",-0.129
"(0.6, 0.4)",-0.147
"(0.6, 0.5)",-0.11
"(0.6, 0.6)",-0.081
"(0.6, 0.7)",-0.034
"(0.6, 0.8)",-0.038
"(0.6, 0.9)",-0.018
"(0.6, 1.0)",-0.006
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.058
"(0.7, 0.2)",-0.1
"(0.7, 0.3)",-0.127
"(0.7, 0.4)",-0.152
"(0.7, 0.5)",-0.125
"(0.7, 0.6)",-0.107
"(0.7, 0.7)",-0.092
"(0.7, 0.8)",-0.004
"(0.7, 0.9)",0.004
"(0.7, 1.0)",0.014
"(0.8, 0.0)",0
"(0.8, 0.1)",-0.059
"(0.8, 0.2)",-0.06
"(0.8, 0.3)",-0.126
"(0.8, 0.4)",-0.098
"(0.8, 0.5)",-0.106
"(0.8, 0.6)",-0.1
"(0.8, 0.7)",-0.091
"(0.8, 0.8)",-0.071
"(0.8, 0.9)",-0.007
"(0.8, 1.0)",0.019
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.037
"(0.9, 0.2)",-0.076
"(0.9, 0.3)",-0.078
"(0.9, 0.4)",-0.086
"(0.9, 0.5)",-0.087
"(0.9, 0.6)",-0.074
"(0.9, 0.7)",-0.093
"(0.9, 0.8)",-0.073
"(0.9, 0.9)",0.02
"(0.9, 1.0)",0.011
"(1.0, 0.0)",0
"(1.0, 0.1)",-0.027
"(1.0, 0.2)",-0.059
"(1.0, 0.3)",-0.073
"(1.0, 0.4)",-0.088
"(1.0, 0.5)",-0.088
"(1.0, 0.6)",-0.101
"(1.0, 0.7)",-0.078
"(1.0, 0.8)",-0.051
"(1.0, 0.9)",-0.019
"(1.0, 1.0)",-0.046
