phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",0.05186666666666667
"(0.0, 0.2)",0.08806666666666667
"(0.0, 0.3)",0.12453333333333333
"(0.0, 0.4)",0.14920000000000003
"(0.0, 0.5)",0.1652
"(0.0, 0.6)",0.19906666666666664
"(0.0, 0.7)",0.2062
"(0.0, 0.8)",0.21666666666666665
"(0.0, 0.9)",0.23933333333333331
"(0.0, 1.0)",0.24386666666666668
"(0.1, 0.0)",-0.014066666666666712
"(0.1, 0.1)",0.041999999999999996
"(0.1, 0.2)",0.0722
"(0.1, 0.3)",0.10360000000000001
"(0.1, 0.4)",0.13420000000000004
"(0.1, 0.5)",0.16273333333333337
"(0.1, 0.6)",0.19953333333333334
"(0.1, 0.7)",0.21479999999999996
"(0.1, 0.8)",0.2396666666666667
"(0.1, 0.9)",0.242
"(0.1, 1.0)",0.2597333333333333
"(0.2, 0.0)",-0.016266666666666693
"(0.2, 0.1)",0.0337333333333333
"(0.2, 0.2)",0.059133333333333316
"(0.2, 0.3)",0.08866666666666669
"(0.2, 0.4)",0.12733333333333335
"(0.2, 0.5)",0.16080000000000003
"(0.2, 0.6)",0.17346666666666669
"(0.2, 0.7)",0.2094
"(0.2, 0.8)",0.2342666666666667
"(0.2, 0.9)",0.23179999999999998
"(0.2, 1.0)",0.2438
"(0.3, 0.0)",-0.020866666666666683
"(0.3, 0.1)",0.013933333333333332
"(0.3, 0.2)",0.04459999999999999
"(0.3, 0.3)",0.07553333333333331
"(0.3, 0.4)",0.11740000000000002
"(0.3, 0.5)",0.1606666666666667
"(0.3, 0.6)",0.17720000000000002
"(0.3, 0.7)",0.2014
"(0.3, 0.8)",0.22893333333333332
"(0.3, 0.9)",0.23959999999999998
"(0.3, 1.0)",0.2308
"(0.4, 0.0)",-0.015533333333333336
"(0.4, 0.1)",0.023933333333333348
"(0.4, 0.2)",0.06393333333333333
"(0.4, 0.3)",0.09153333333333336
"(0.4, 0.4)",0.11966666666666669
"(0.4, 0.5)",0.1486666666666667
"(0.4, 0.6)",0.14379999999999998
"(0.4, 0.7)",0.22526666666666664
"(0.4, 0.8)",0.23000000000000004
"(0.4, 0.9)",0.2482
"(0.4, 1.0)",0.2248
"(0.5, 0.0)",-0.007333333333333328
"(0.5, 0.1)",0.019533333333333337
"(0.5, 0.2)",0.04126666666666668
"(0.5, 0.3)",0.0607333333333333
"(0.5, 0.4)",0.11326666666666671
"(0.5, 0.5)",0.10853333333333336
"(0.5, 0.6)",0.14513333333333334
"(0.5, 0.7)",0.19746666666666665
"(0.5, 0.8)",0.2416
"(0.5, 0.9)",0.25699999999999995
"(0.5, 1.0)",0.2547333333333333
"(0.6, 0.0)",-0.0009333333333333354
"(0.6, 0.1)",0.0356
"(0.6, 0.2)",0.06439999999999999
"(0.6, 0.3)",0.08406666666666665
"(0.6, 0.4)",0.09113333333333337
"(0.6, 0.5)",0.1486
"(0.6, 0.6)",0.16333333333333333
"(0.6, 0.7)",0.22613333333333333
"(0.6, 0.8)",0.2388
"(0.6, 0.9)",0.26893333333333336
"(0.6, 1.0)",0.26
"(0.7, 0.0)",-0.0009999999999999946
"(0.7, 0.1)",0.037533333333333335
"(0.7, 0.2)",0.059266666666666676
"(0.7, 0.3)",0.07573333333333332
"(0.7, 0.4)",0.09833333333333336
"(0.7, 0.5)",0.13753333333333334
"(0.7, 0.6)",0.17773333333333333
"(0.7, 0.7)",0.23933333333333331
"(0.7, 0.8)",0.2586
"(0.7, 0.9)",0.29506666666666664
"(0.7, 1.0)",0.3642666666666666
"(0.8, 0.0)",-0.0013333333333333394
"(0.8, 0.1)",0.04073333333333334
"(0.8, 0.2)",0.05840000000000001
"(0.8, 0.3)",0.08379999999999999
"(0.8, 0.4)",0.10726666666666669
"(0.8, 0.5)",0.12446666666666667
"(0.8, 0.6)",0.13199999999999998
"(0.8, 0.7)",0.20106666666666664
"(0.8, 0.8)",0.2173333333333333
"(0.8, 0.9)",0.2807333333333333
"(0.8, 1.0)",0.25833333333333336
"(0.9, 0.0)",-0.001133333333333339
"(0.9, 0.1)",0.04546666666666666
"(0.9, 0.2)",0.04646666666666664
"(0.9, 0.3)",0.0796
"(0.9, 0.4)",0.08426666666666667
"(0.9, 0.5)",0.12273333333333336
"(0.9, 0.6)",0.12806666666666663
"(0.9, 0.7)",0.16606666666666667
"(0.9, 0.8)",0.16906666666666664
"(0.9, 0.9)",0.23320000000000005
"(0.9, 1.0)",0.2966
"(1.0, 0.0)",0.0004666666666666677
"(1.0, 0.1)",0.03726666666666667
"(1.0, 0.2)",0.05380000000000001
"(1.0, 0.3)",0.06653333333333335
"(1.0, 0.4)",0.08186666666666668
"(1.0, 0.5)",0.14433333333333334
"(1.0, 0.6)",0.13113333333333335
"(1.0, 0.7)",0.17353333333333332
"(1.0, 0.8)",0.19926666666666668
"(1.0, 0.9)",0.27586666666666665
"(1.0, 1.0)",0.32006666666666667
