phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",-0.0013333333333333218
"(0.0, 0.2)",-0.026866666666666653
"(0.0, 0.3)",-0.02640000000000002
"(0.0, 0.4)",-0.06573333333333338
"(0.0, 0.5)",-0.08240000000000001
"(0.0, 0.6)",-0.1344
"(0.0, 0.7)",-0.16606666666666667
"(0.0, 0.8)",-0.18626666666666666
"(0.0, 0.9)",-0.232
"(0.0, 1.0)",-0.25026666666666664
"(0.1, 0.0)",-0.014066666666666712
"(0.1, 0.1)",0.0005333333333333405
"(0.1, 0.2)",-0.022333333333333327
"(0.1, 0.3)",-0.051866666666666665
"(0.1, 0.4)",-0.06860000000000002
"(0.1, 0.5)",-0.07766666666666669
"(0.1, 0.6)",-0.09953333333333331
"(0.1, 0.7)",-0.13093333333333335
"(0.1, 0.8)",-0.19033333333333333
"(0.1, 0.9)",-0.21853333333333333
"(0.1, 1.0)",-0.24266666666666664
"(0.2, 0.0)",-0.016266666666666693
"(0.2, 0.1)",-0.004266666666666689
"(0.2, 0.2)",-0.0238
"(0.2, 0.3)",-0.042533333333333326
"(0.2, 0.4)",-0.054000000000000034
"(0.2, 0.5)",-0.08120000000000002
"(0.2, 0.6)",-0.11346666666666666
"(0.2, 0.7)",-0.14300000000000002
"(0.2, 0.8)",-0.2
"(0.2, 0.9)",-0.2399333333333333
"(0.2, 1.0)",-0.24673333333333336
"(0.3, 0.0)",-0.020866666666666683
"(0.3, 0.1)",-0.007666666666666662
"(0.3, 0.2)",-0.020599999999999986
"(0.3, 0.3)",-0.022200000000000022
"(0.3, 0.4)",-0.04913333333333335
"(0.3, 0.5)",-0.06786666666666666
"(0.3, 0.6)",-0.09546666666666667
"(0.3, 0.7)",-0.17179999999999998
"(0.3, 0.8)",-0.21026666666666669
"(0.3, 0.9)",-0.24160000000000004
"(0.3, 1.0)",-0.2561333333333333
"(0.4, 0.0)",-0.015533333333333336
"(0.4, 0.1)",0.0026000000000000172
"(0.4, 0.2)",0.008733333333333336
"(0.4, 0.3)",0.008066666666666687
"(0.4, 0.4)",-0.045266666666666684
"(0.4, 0.5)",-0.06040000000000003
"(0.4, 0.6)",-0.1434
"(0.4, 0.7)",-0.17073333333333332
"(0.4, 0.8)",-0.19360000000000002
"(0.4, 0.9)",-0.24219999999999994
"(0.4, 1.0)",-0.2581333333333333
"(0.5, 0.0)",-0.007333333333333328
"(0.5, 0.1)",0.0007333333333333428
"(0.5, 0.2)",-0.005399999999999988
"(0.5, 0.3)",-0.023000000000000024
"(0.5, 0.4)",-0.02846666666666666
"(0.5, 0.5)",-0.11013333333333336
"(0.5, 0.6)",-0.11420000000000001
"(0.5, 0.7)",-0.1789333333333333
"(0.5, 0.8)",-0.20346666666666666
"(0.5, 0.9)",-0.2183333333333333
"(0.5, 1.0)",-0.245
"(0.6, 0.0)",-0.0009333333333333354
"(0.6, 0.1)",0.020266666666666665
"(0.6, 0.2)",0.024133333333333333
"(0.6, 0.3)",0.002599999999999991
"(0.6, 0.4)",-0.011666666666666672
"(0.6, 0.5)",-0.05126666666666669
"(0.6, 0.6)",-0.08080000000000001
"(0.6, 0.7)",-0.16479999999999997
"(0.6, 0.8)",-0.19253333333333333
"(0.6, 0.9)",-0.2728
"(0.6, 1.0)",-0.28879999999999995
"(0.7, 0.0)",-0.0009999999999999946
"(0.7, 0.1)",0.0314
"(0.7, 0.2)",0.03740000000000001
"(0.7, 0.3)",0.01200000000000001
"(0.7, 0.4)",-0.018466666666666666
"(0.7, 0.5)",-0.02580000000000001
"(0.7, 0.6)",-0.08360000000000004
"(0.7, 0.7)",-0.1489333333333333
"(0.7, 0.8)",-0.2262
"(0.7, 0.9)",-0.25733333333333336
"(0.7, 1.0)",-0.2757333333333333
"(0.8, 0.0)",-0.0013333333333333394
"(0.8, 0.1)",0.0382
"(0.8, 0.2)",0.04386666666666668
"(0.8, 0.3)",0.04219999999999999
"(0.8, 0.4)",0.018333333333333333
"(0.8, 0.5)",-0.022466666666666683
"(0.8, 0.6)",-0.06960000000000001
"(0.8, 0.7)",-0.13693333333333332
"(0.8, 0.8)",-0.2374666666666667
"(0.8, 0.9)",-0.28140000000000004
"(0.8, 1.0)",-0.28633333333333333
"(0.9, 0.0)",-0.001133333333333339
"(0.9, 0.1)",0.04826666666666666
"(0.9, 0.2)",0.038466666666666656
"(0.9, 0.3)",0.03973333333333334
"(0.9, 0.4)",0.01653333333333333
"(0.9, 0.5)",0.0218
"(0.9, 0.6)",-0.03926666666666667
"(0.9, 0.7)",-0.11673333333333333
"(0.9, 0.8)",-0.26306666666666667
"(0.9, 0.9)",-0.3232
"(0.9, 1.0)",-0.3040666666666667
"(1.0, 0.0)",0.0004666666666666677
"(1.0, 0.1)",0.041800000000000004
"(1.0, 0.2)",0.05006666666666666
"(1.0, 0.3)",0.035600000000000014
"(1.0, 0.4)",0.02493333333333333
"(1.0, 0.5)",0.04126666666666665
"(1.0, 0.6)",-0.034199999999999994
"(1.0, 0.7)",-0.09993333333333332
"(1.0, 0.8)",-0.22473333333333328
"(1.0, 0.9)",-0.2829333333333333
"(1.0, 1.0)",-0.28806666666666664
