phi_sui,phi_rev
"(0.0, 0.0)",1.2000000000000002
"(0.0, 0.1)",1.2000000000000002
"(0.0, 0.2)",1.2000000000000002
"(0.0, 0.3)",1.2000000000000002
"(0.0, 0.4)",1.2000000000000002
"(0.0, 0.5)",1.2000000000000002
"(0.0, 0.6)",1.2000000000000002
"(0.0, 0.7)",1.2000000000000002
"(0.0, 0.8)",1.2000000000000002
"(0.0, 0.9)",1.2000000000000002
"(0.0, 1.0)",1.2000000000000002
"(0.1, 0.0)",1.1064
"(0.1, 0.1)",1.1118000000000001
"(0.1, 0.2)",1.1498000000000002
"(0.1, 0.3)",1.1696000000000002
"(0.1, 0.4)",1.203
"(0.1, 0.5)",1.2098000000000002
"(0.1, 0.6)",1.2354
"(0.1, 0.7)",1.2368000000000001
"(0.1, 0.8)",1.2474
"(0.1, 0.9)",1.247
"(0.1, 1.0)",1.2484000000000002
"(0.2, 0.0)",1.014
"(0.2, 0.1)",1.0518
"(0.2, 0.2)",1.094
"(0.2, 0.3)",1.1284
"(0.2, 0.4)",1.1758
"(0.2, 0.5)",1.2118
"(0.2, 0.6)",1.2444
"(0.2, 0.7)",1.2826
"(0.2, 0.8)",1.3
"(0.2, 0.9)",1.2904
"(0.2, 1.0)",1.2968
"(0.3, 0.0)",0.9342
"(0.3, 0.1)",0.9918
"(0.3, 0.2)",1.0594000000000001
"(0.3, 0.3)",1.1126
"(0.3, 0.4)",1.155
"(0.3, 0.5)",1.2086000000000001
"(0.3, 0.6)",1.2814
"(0.3, 0.7)",1.302
"(0.3, 0.8)",1.32
"(0.3, 0.9)",1.3196
"(0.3, 1.0)",1.314
"(0.4, 0.0)",0.8616
"(0.4, 0.1)",0.9188000000000001
"(0.4, 0.2)",1.0074
"(0.4, 0.3)",1.0622
"(0.4, 0.4)",1.1440000000000001
"(0.4, 0.5)",1.1926
"(0.4, 0.6)",1.2634
"(0.4, 0.7)",1.2968
"(0.4, 0.8)",1.3254
"(0.4, 0.9)",1.341
"(0.4, 1.0)",1.3466
"(0.5, 0.0)",0.809
"(0.5, 0.1)",0.8996000000000001
"(0.5, 0.2)",1.0062
"(0.5, 0.3)",1.0250000000000001
"(0.5, 0.4)",1.1364
"(0.5, 0.5)",1.2144
"(0.5, 0.6)",1.2736
"(0.5, 0.7)",1.2896
"(0.5, 0.8)",1.3412
"(0.5, 0.9)",1.3748
"(0.5, 1.0)",1.3238
"(0.6, 0.0)",0.7782
"(0.6, 0.1)",0.8574
"(0.6, 0.2)",0.9542
"(0.6, 0.3)",1.0558
"(0.6, 0.4)",1.112
"(0.6, 0.5)",1.2198
"(0.6, 0.6)",1.2476
"(0.6, 0.7)",1.3034000000000001
"(0.6, 0.8)",1.314
"(0.6, 0.9)",1.3734
"(0.6, 1.0)",1.344
"(0.7, 0.0)",0.7718
"(0.7, 0.1)",0.8508
"(0.7, 0.2)",0.9202
"(0.7, 0.3)",1.0244
"(0.7, 0.4)",1.1108
"(0.7, 0.5)",1.164
"(0.7, 0.6)",1.2412
"(0.7, 0.7)",1.2790000000000001
"(0.7, 0.8)",1.3256000000000001
"(0.7, 0.9)",1.3426
"(0.7, 1.0)",1.3404
"(0.8, 0.0)",0.7386
"(0.8, 0.1)",0.8310000000000001
"(0.8, 0.2)",0.8916000000000001
"(0.8, 0.3)",0.9916
"(0.8, 0.4)",1.1062
"(0.8, 0.5)",1.1522000000000001
"(0.8, 0.6)",1.2586
"(0.8, 0.7)",1.2934
"(0.8, 0.8)",1.3164
"(0.8, 0.9)",1.3254000000000001
"(0.8, 1.0)",1.3634
"(0.9, 0.0)",0.7308
"(0.9, 0.1)",0.8170000000000001
"(0.9, 0.2)",0.9038
"(0.9, 0.3)",1.0058
"(0.9, 0.4)",1.0956000000000001
"(0.9, 0.5)",1.1618
"(0.9, 0.6)",1.2366
"(0.9, 0.7)",1.2994
"(0.9, 0.8)",1.3196
"(0.9, 0.9)",1.321
"(0.9, 1.0)",1.3376000000000001
"(1.0, 0.0)",0.7302000000000001
"(1.0, 0.1)",0.8124
"(1.0, 0.2)",0.9406
"(1.0, 0.3)",1.0142
"(1.0, 0.4)",1.1078000000000001
"(1.0, 0.5)",1.1578
"(1.0, 0.6)",1.236
"(1.0, 0.7)",1.301
"(1.0, 0.8)",1.3234000000000001
"(1.0, 0.9)",1.3168
"(1.0, 1.0)",1.3224
