phi_sui,phi_rev
"(0.0, 0.0)",3.3333333333333335
"(0.0, 0.1)",3.3254
"(0.0, 0.2)",3.3199333333333336
"(0.0, 0.3)",3.3203333333333336
"(0.0, 0.4)",3.3222666666666667
"(0.0, 0.5)",3.3200666666666665
"(0.0, 0.6)",3.329266666666667
"(0.0, 0.7)",3.3324666666666665
"(0.0, 0.8)",3.332133333333333
"(0.0, 0.9)",3.332666666666667
"(0.0, 1.0)",3.3329333333333335
"(0.1, 0.0)",3.3333333333333335
"(0.1, 0.1)",3.3308
"(0.1, 0.2)",3.3506666666666667
"(0.1, 0.3)",3.3536
"(0.1, 0.4)",3.3865333333333334
"(0.1, 0.5)",3.4221333333333335
"(0.1, 0.6)",3.4568666666666665
"(0.1, 0.7)",3.4801333333333333
"(0.1, 0.8)",3.5345333333333335
"(0.1, 0.9)",3.5675333333333334
"(0.1, 1.0)",3.5522
"(0.2, 0.0)",3.3333333333333335
"(0.2, 0.1)",3.345
"(0.2, 0.2)",3.3674
"(0.2, 0.3)",3.4309333333333334
"(0.2, 0.4)",3.4690666666666665
"(0.2, 0.5)",3.5242666666666667
"(0.2, 0.6)",3.6122
"(0.2, 0.7)",3.6536
"(0.2, 0.8)",3.7417333333333334
"(0.2, 0.9)",3.792666666666667
"(0.2, 1.0)",3.7965333333333335
"(0.3, 0.0)",3.3333333333333335
"(0.3, 0.1)",3.3699333333333334
"(0.3, 0.2)",3.4156
"(0.3, 0.3)",3.4547333333333334
"(0.3, 0.4)",3.546333333333333
"(0.3, 0.5)",3.6572666666666667
"(0.3, 0.6)",3.7732666666666668
"(0.3, 0.7)",3.8636
"(0.3, 0.8)",3.9828666666666668
"(0.3, 0.9)",4.036333333333333
"(0.3, 1.0)",4.040266666666667
"(0.4, 0.0)",3.3333333333333335
"(0.4, 0.1)",3.3934
"(0.4, 0.2)",3.4696
"(0.4, 0.3)",3.5618666666666665
"(0.4, 0.4)",3.6426
"(0.4, 0.5)",3.7742666666666667
"(0.4, 0.6)",3.915
"(0.4, 0.7)",4.1
"(0.4, 0.8)",4.228466666666667
"(0.4, 0.9)",4.3136
"(0.4, 1.0)",4.349266666666667
"(0.5, 0.0)",3.3333333333333335
"(0.5, 0.1)",3.4168
"(0.5, 0.2)",3.522666666666667
"(0.5, 0.3)",3.6514
"(0.5, 0.4)",3.8069333333333333
"(0.5, 0.5)",3.9394
"(0.5, 0.6)",4.155666666666667
"(0.5, 0.7)",4.364533333333333
"(0.5, 0.8)",4.5536666666666665
"(0.5, 0.9)",4.722066666666667
"(0.5, 1.0)",4.768
"(0.6, 0.0)",3.3333333333333335
"(0.6, 0.1)",3.4842
"(0.6, 0.2)",3.6035333333333335
"(0.6, 0.3)",3.7354666666666665
"(0.6, 0.4)",3.9578666666666664
"(0.6, 0.5)",4.124533333333333
"(0.6, 0.6)",4.405266666666667
"(0.6, 0.7)",4.691466666666667
"(0.6, 0.8)",4.962733333333333
"(0.6, 0.9)",5.1032
"(0.6, 1.0)",5.2123333333333335
"(0.7, 0.0)",3.3333333333333335
"(0.7, 0.1)",3.4917333333333334
"(0.7, 0.2)",3.678933333333333
"(0.7, 0.3)",3.868933333333333
"(0.7, 0.4)",4.111133333333333
"(0.7, 0.5)",4.357733333333333
"(0.7, 0.6)",4.6908666666666665
"(0.7, 0.7)",5.0822
"(0.7, 0.8)",5.446533333333333
"(0.7, 0.9)",5.680866666666667
"(0.7, 1.0)",5.8171333333333335
"(0.8, 0.0)",3.3333333333333335
"(0.8, 0.1)",3.5438666666666667
"(0.8, 0.2)",3.7543333333333333
"(0.8, 0.3)",3.9814666666666665
"(0.8, 0.4)",4.2514666666666665
"(0.8, 0.5)",4.5662666666666665
"(0.8, 0.6)",4.977133333333334
"(0.8, 0.7)",5.4106
"(0.8, 0.8)",5.958
"(0.8, 0.9)",6.318466666666667
"(0.8, 1.0)",6.425533333333333
"(0.9, 0.0)",3.3333333333333335
"(0.9, 0.1)",3.5612666666666666
"(0.9, 0.2)",3.7929333333333335
"(0.9, 0.3)",4.0338666666666665
"(0.9, 0.4)",4.32
"(0.9, 0.5)",4.680466666666667
"(0.9, 0.6)",5.1062
"(0.9, 0.7)",5.676666666666667
"(0.9, 0.8)",6.2892
"(0.9, 0.9)",6.782733333333334
"(0.9, 1.0)",6.944866666666667
"(1.0, 0.0)",3.3333333333333335
"(1.0, 0.1)",3.5566666666666666
"(1.0, 0.2)",3.7786666666666666
"(1.0, 0.3)",4.061266666666667
"(1.0, 0.4)",4.354866666666666
"(1.0, 0.5)",4.737866666666666
"(1.0, 0.6)",5.1628
"(1.0, 0.7)",5.750666666666667
"(1.0, 0.8)",6.4312
"(1.0, 0.9)",6.887066666666667
"(1.0, 1.0)",7.095
