phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",-0.011000000000000012
"(0.0, 0.2)",-0.03433333333333332
"(0.0, 0.3)",-0.04019999999999999
"(0.0, 0.4)",-0.06639999999999997
"(0.0, 0.5)",-0.05839999999999998
"(0.0, 0.6)",-0.037399999999999996
"(0.0, 0.7)",-0.015533333333333354
"(0.0, 0.8)",-0.011266666666666673
"(0.0, 0.9)",-0.0037999999999999844
"(0.0, 1.0)",-0.0024666666666666157
"(0.1, 0.0)",0.0020000000000000013
"(0.1, 0.1)",0.01320000000000002
"(0.1, 0.2)",0.012733333333333373
"(0.1, 0.3)",-0.0008666666666666227
"(0.1, 0.4)",-0.016333333333333287
"(0.1, 0.5)",-0.0191333333333333
"(0.1, 0.6)",-0.013599999999999949
"(0.1, 0.7)",0.0018666666666667183
"(0.1, 0.8)",0.00920000000000002
"(0.1, 0.9)",0.0063333333333333835
"(0.1, 1.0)",0.005466666666666707
"(0.2, 0.0)",-0.02226666666666665
"(0.2, 0.1)",0.0007333333333333645
"(0.2, 0.2)",0.016333333333333373
"(0.2, 0.3)",0.01806666666666671
"(0.2, 0.4)",0.0242666666666667
"(0.2, 0.5)",0.016400000000000046
"(0.2, 0.6)",0.025400000000000093
"(0.2, 0.7)",0.02206666666666674
"(0.2, 0.8)",0.025866666666666732
"(0.2, 0.9)",0.016666666666666715
"(0.2, 1.0)",0.01820000000000004
"(0.3, 0.0)",-0.07533333333333332
"(0.3, 0.1)",-0.032266666666666666
"(0.3, 0.2)",-0.005933333333333316
"(0.3, 0.3)",0.023133333333333384
"(0.3, 0.4)",0.035133333333333384
"(0.3, 0.5)",0.038266666666666733
"(0.3, 0.6)",0.062400000000000067
"(0.3, 0.7)",0.04866666666666675
"(0.3, 0.8)",0.041800000000000066
"(0.3, 0.9)",0.024533333333333397
"(0.3, 1.0)",0.03226666666666673
"(0.4, 0.0)",-0.13179999999999997
"(0.4, 0.1)",-0.0912
"(0.4, 0.2)",-0.04953333333333331
"(0.4, 0.3)",0.0017333333333333528
"(0.4, 0.4)",0.020000000000000035
"(0.4, 0.5)",0.05020000000000006
"(0.4, 0.6)",0.07400000000000005
"(0.4, 0.7)",0.08266666666666674
"(0.4, 0.8)",0.06426666666666674
"(0.4, 0.9)",0.048000000000000057
"(0.4, 1.0)",0.05140000000000006
"(0.5, 0.0)",-0.19946666666666665
"(0.5, 0.1)",-0.16799999999999998
"(0.5, 0.2)",-0.11239999999999996
"(0.5, 0.3)",-0.0633333333333333
"(0.5, 0.4)",-0.0077333333333332935
"(0.5, 0.5)",0.03500000000000004
"(0.5, 0.6)",0.09826666666666668
"(0.5, 0.7)",0.10820000000000003
"(0.5, 0.8)",0.0964666666666667
"(0.5, 0.9)",0.07966666666666669
"(0.5, 1.0)",0.07700000000000001
"(0.6, 0.0)",-0.29706666666666665
"(0.6, 0.1)",-0.2521333333333333
"(0.6, 0.2)",-0.21893333333333329
"(0.6, 0.3)",-0.16726666666666662
"(0.6, 0.4)",-0.0795333333333333
"(0.6, 0.5)",-0.009333333333333289
"(0.6, 0.6)",0.046400000000000004
"(0.6, 0.7)",0.1128
"(0.6, 0.8)",0.1332
"(0.6, 0.9)",0.10279999999999997
"(0.6, 1.0)",0.09779999999999996
"(0.7, 0.0)",-0.35153333333333325
"(0.7, 0.1)",-0.3275333333333333
"(0.7, 0.2)",-0.3109333333333333
"(0.7, 0.3)",-0.2540666666666666
"(0.7, 0.4)",-0.1883333333333333
"(0.7, 0.5)",-0.10059999999999998
"(0.7, 0.6)",-0.01486666666666665
"(0.7, 0.7)",0.07286666666666664
"(0.7, 0.8)",0.1279333333333333
"(0.7, 0.9)",0.1185999999999999
"(0.7, 1.0)",0.11633333333333327
"(0.8, 0.0)",-0.4040666666666666
"(0.8, 0.1)",-0.39259999999999995
"(0.8, 0.2)",-0.3846666666666666
"(0.8, 0.3)",-0.3611333333333333
"(0.8, 0.4)",-0.31166666666666665
"(0.8, 0.5)",-0.2490666666666667
"(0.8, 0.6)",-0.1144
"(0.8, 0.7)",-0.020333333333333353
"(0.8, 0.8)",0.09419999999999998
"(0.8, 0.9)",0.13966666666666663
"(0.8, 1.0)",0.12546666666666664
"(0.9, 0.0)",-0.44446666666666657
"(0.9, 0.1)",-0.43879999999999997
"(0.9, 0.2)",-0.4353333333333333
"(0.9, 0.3)",-0.4298666666666666
"(0.9, 0.4)",-0.3782
"(0.9, 0.5)",-0.31353333333333333
"(0.9, 0.6)",-0.25173333333333336
"(0.9, 0.7)",-0.08646666666666675
"(0.9, 0.8)",-0.0024000000000000384
"(0.9, 0.9)",0.10286666666666665
"(0.9, 1.0)",0.11579999999999997
"(1.0, 0.0)",-0.45366666666666655
"(1.0, 0.1)",-0.45419999999999994
"(1.0, 0.2)",-0.45439999999999997
"(1.0, 0.3)",-0.43066666666666664
"(1.0, 0.4)",-0.401
"(1.0, 0.5)",-0.36280000000000007
"(1.0, 0.6)",-0.25486666666666674
"(1.0, 0.7)",-0.14720000000000005
"(1.0, 0.8)",-0.020733333333333374
"(1.0, 0.9)",0.025333333333333336
"(1.0, 1.0)",0.08786666666666666
