phi_sui,phi_rev
"(0.0, 0.0)",6.666666666666667
"(0.0, 0.1)",6.6378
"(0.0, 0.2)",6.612733333333333
"(0.0, 0.3)",6.597333333333333
"(0.0, 0.4)",6.596733333333333
"(0.0, 0.5)",6.604866666666666
"(0.0, 0.6)",6.6214
"(0.0, 0.7)",6.6446000000000005
"(0.0, 0.8)",6.661133333333334
"(0.0, 0.9)",6.662866666666667
"(0.0, 1.0)",6.6638
"(0.1, 0.0)",6.5920000000000005
"(0.1, 0.1)",6.618533333333334
"(0.1, 0.2)",6.665066666666666
"(0.1, 0.3)",6.725266666666666
"(0.1, 0.4)",6.772
"(0.1, 0.5)",6.897600000000001
"(0.1, 0.6)",6.9758
"(0.1, 0.7)",7.0742
"(0.1, 0.8)",7.178866666666666
"(0.1, 0.9)",7.181733333333334
"(0.1, 1.0)",7.197133333333333
"(0.2, 0.0)",6.515666666666666
"(0.2, 0.1)",6.609133333333333
"(0.2, 0.2)",6.7190666666666665
"(0.2, 0.3)",6.8512
"(0.2, 0.4)",7.027333333333333
"(0.2, 0.5)",7.133066666666666
"(0.2, 0.6)",7.338933333333333
"(0.2, 0.7)",7.4848
"(0.2, 0.8)",7.611800000000001
"(0.2, 0.9)",7.68
"(0.2, 1.0)",7.6608
"(0.3, 0.0)",6.432666666666667
"(0.3, 0.1)",6.5978666666666665
"(0.3, 0.2)",6.758733333333334
"(0.3, 0.3)",6.970266666666666
"(0.3, 0.4)",7.159866666666666
"(0.3, 0.5)",7.408533333333333
"(0.3, 0.6)",7.725266666666666
"(0.3, 0.7)",7.921866666666666
"(0.3, 0.8)",8.053
"(0.3, 0.9)",8.235733333333332
"(0.3, 1.0)",8.2652
"(0.4, 0.0)",6.362133333333333
"(0.4, 0.1)",6.559866666666666
"(0.4, 0.2)",6.7794
"(0.4, 0.3)",7.0624
"(0.4, 0.4)",7.318866666666667
"(0.4, 0.5)",7.6152
"(0.4, 0.6)",7.993600000000001
"(0.4, 0.7)",8.318266666666666
"(0.4, 0.8)",8.612266666666667
"(0.4, 0.9)",8.822933333333333
"(0.4, 1.0)",8.820133333333333
"(0.5, 0.0)",6.2922
"(0.5, 0.1)",6.557333333333333
"(0.5, 0.2)",6.798133333333333
"(0.5, 0.3)",7.110333333333333
"(0.5, 0.4)",7.486133333333333
"(0.5, 0.5)",7.833733333333333
"(0.5, 0.6)",8.2914
"(0.5, 0.7)",8.818999999999999
"(0.5, 0.8)",9.1714
"(0.5, 0.9)",9.5672
"(0.5, 1.0)",9.6504
"(0.6, 0.0)",6.200666666666667
"(0.6, 0.1)",6.5114
"(0.6, 0.2)",6.832533333333333
"(0.6, 0.3)",7.278066666666667
"(0.6, 0.4)",7.630066666666666
"(0.6, 0.5)",8.113133333333334
"(0.6, 0.6)",8.754666666666665
"(0.6, 0.7)",9.451
"(0.6, 0.8)",9.932866666666666
"(0.6, 0.9)",10.413866666666667
"(0.6, 1.0)",10.5116
"(0.7, 0.0)",6.1264
"(0.7, 0.1)",6.529400000000001
"(0.7, 0.2)",6.955533333333333
"(0.7, 0.3)",7.336533333333334
"(0.7, 0.4)",7.841333333333333
"(0.7, 0.5)",8.431333333333335
"(0.7, 0.6)",9.132133333333332
"(0.7, 0.7)",10.102933333333333
"(0.7, 0.8)",10.833533333333333
"(0.7, 0.9)",11.348533333333332
"(0.7, 1.0)",11.601533333333332
"(0.8, 0.0)",6.090400000000001
"(0.8, 0.1)",6.516466666666666
"(0.8, 0.2)",6.9854
"(0.8, 0.3)",7.442333333333334
"(0.8, 0.4)",7.958933333333333
"(0.8, 0.5)",8.672666666666668
"(0.8, 0.6)",9.541066666666667
"(0.8, 0.7)",10.533533333333335
"(0.8, 0.8)",11.739133333333333
"(0.8, 0.9)",12.479466666666667
"(0.8, 1.0)",12.828666666666667
"(0.9, 0.0)",6.0440000000000005
"(0.9, 0.1)",6.505
"(0.9, 0.2)",7.006
"(0.9, 0.3)",7.5389333333333335
"(0.9, 0.4)",8.135666666666665
"(0.9, 0.5)",8.885466666666666
"(0.9, 0.6)",9.817866666666667
"(0.9, 0.7)",10.888466666666666
"(0.9, 0.8)",12.2558
"(0.9, 0.9)",13.2258
"(0.9, 1.0)",13.5198
"(1.0, 0.0)",6.0552
"(1.0, 0.1)",6.558
"(1.0, 0.2)",7.0184
"(1.0, 0.3)",7.483466666666667
"(1.0, 0.4)",8.1602
"(1.0, 0.5)",8.902666666666667
"(1.0, 0.6)",9.889066666666666
"(1.0, 0.7)",11.083
"(1.0, 0.8)",12.485800000000001
"(1.0, 0.9)",13.444199999999999
"(1.0, 1.0)",13.845933333333333
