phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.0014666666666666662
"(0.0, 0.2)",-0.008666666666666665
"(0.0, 0.3)",-0.01433333333333333
"(0.0, 0.4)",-0.009933333333333332
"(0.0, 0.5)",-0.0052
"(0.0, 0.6)",-0.00806666666666667
"(0.0, 0.7)",-0.0028666666666666675
"(0.0, 0.8)",-0.0017333333333333359
"(0.0, 0.9)",6.666666666666643e-05
"(0.0, 1.0)",-0.0011333333333333338
"(0.1, 0.0)",-0.003933333333333332
"(0.1, 0.1)",0.002466666666666666
"(0.1, 0.2)",-0.0029333333333333325
"(0.1, 0.3)",-0.0006666666666666663
"(0.1, 0.4)",-0.0019333333333333342
"(0.1, 0.5)",-0.00326666666666667
"(0.1, 0.6)",-0.0025333333333333345
"(0.1, 0.7)",0.0006666666666666672
"(0.1, 0.8)",-0.0012000000000000016
"(0.1, 0.9)",0.0006000000000000007
"(0.1, 1.0)",0.00013333333333333285
"(0.2, 0.0)",-0.012866666666666663
"(0.2, 0.1)",-0.003866666666666666
"(0.2, 0.2)",-0.001333333333333333
"(0.2, 0.3)",0.0033333333333333327
"(0.2, 0.4)",0.0024666666666666665
"(0.2, 0.5)",0.0005999999999999966
"(0.2, 0.6)",-0.00106666666666667
"(0.2, 0.7)",-0.0015333333333333358
"(0.2, 0.8)",0.0031999999999999997
"(0.2, 0.9)",-0.000400000000000001
"(0.2, 1.0)",0.0036666666666666657
"(0.3, 0.0)",-0.03166666666666666
"(0.3, 0.1)",-0.014599999999999998
"(0.3, 0.2)",-0.007866666666666666
"(0.3, 0.3)",-0.008133333333333333
"(0.3, 0.4)",0.007199999999999999
"(0.3, 0.5)",-0.0015333333333333368
"(0.3, 0.6)",0.003999999999999996
"(0.3, 0.7)",6.666666666666365e-05
"(0.3, 0.8)",0.004933333333333333
"(0.3, 0.9)",0.004333333333333332
"(0.3, 1.0)",0.003533333333333334
"(0.4, 0.0)",-0.0416
"(0.4, 0.1)",-0.032466666666666665
"(0.4, 0.2)",-0.0248
"(0.4, 0.3)",-0.007733333333333337
"(0.4, 0.4)",0.0008666666666666615
"(0.4, 0.5)",0.0028666666666666615
"(0.4, 0.6)",0.009266666666666666
"(0.4, 0.7)",0.0019999999999999974
"(0.4, 0.8)",0.009933333333333334
"(0.4, 0.9)",0.0052
"(0.4, 1.0)",0.0031333333333333343
"(0.5, 0.0)",-0.05473333333333334
"(0.5, 0.1)",-0.04020000000000001
"(0.5, 0.2)",-0.032200000000000006
"(0.5, 0.3)",-0.016666666666666673
"(0.5, 0.4)",-0.008666666666666673
"(0.5, 0.5)",-0.007200000000000009
"(0.5, 0.6)",0.00493333333333333
"(0.5, 0.7)",0.0036000000000000025
"(0.5, 0.8)",0.004666666666666668
"(0.5, 0.9)",0.001800000000000002
"(0.5, 1.0)",0.00826666666666667
"(0.6, 0.0)",-0.06820000000000002
"(0.6, 0.1)",-0.04833333333333335
"(0.6, 0.2)",-0.05486666666666669
"(0.6, 0.3)",-0.05466666666666668
"(0.6, 0.4)",-0.044933333333333346
"(0.6, 0.5)",-0.010666666666666673
"(0.6, 0.6)",-0.013333333333333334
"(0.6, 0.7)",0.010133333333333336
"(0.6, 0.8)",0.010266666666666665
"(0.6, 0.9)",0.0033333333333333357
"(0.6, 1.0)",0.002466666666666668
"(0.7, 0.0)",-0.08453333333333338
"(0.7, 0.1)",-0.08680000000000004
"(0.7, 0.2)",-0.0744666666666667
"(0.7, 0.3)",-0.06926666666666668
"(0.7, 0.4)",-0.05046666666666668
"(0.7, 0.5)",-0.03740000000000001
"(0.7, 0.6)",-0.023400000000000004
"(0.7, 0.7)",-0.0019333333333333299
"(0.7, 0.8)",0.013533333333333336
"(0.7, 0.9)",0.006666666666666666
"(0.7, 1.0)",0.013466666666666674
"(0.8, 0.0)",-0.10480000000000007
"(0.8, 0.1)",-0.09653333333333339
"(0.8, 0.2)",-0.09220000000000003
"(0.8, 0.3)",-0.08560000000000002
"(0.8, 0.4)",-0.07266666666666668
"(0.8, 0.5)",-0.0746
"(0.8, 0.6)",-0.04213333333333333
"(0.8, 0.7)",-0.034333333333333334
"(0.8, 0.8)",-0.00786666666666666
"(0.8, 0.9)",0.008533333333333339
"(0.8, 1.0)",0.011799999999999998
"(0.9, 0.0)",-0.12366666666666674
"(0.9, 0.1)",-0.12060000000000005
"(0.9, 0.2)",-0.11606666666666669
"(0.9, 0.3)",-0.10820000000000002
"(0.9, 0.4)",-0.10853333333333334
"(0.9, 0.5)",-0.08246666666666666
"(0.9, 0.6)",-0.06146666666666667
"(0.9, 0.7)",-0.0336
"(0.9, 0.8)",-0.010333333333333337
"(0.9, 0.9)",0.005066666666666666
"(0.9, 1.0)",-0.00453333333333333
"(1.0, 0.0)",-0.12940000000000007
"(1.0, 0.1)",-0.12993333333333337
"(1.0, 0.2)",-0.12200000000000003
"(1.0, 0.3)",-0.11966666666666669
"(1.0, 0.4)",-0.11406666666666666
"(1.0, 0.5)",-0.09213333333333334
"(1.0, 0.6)",-0.08533333333333333
"(1.0, 0.7)",-0.04466666666666666
"(1.0, 0.8)",-0.023866666666666665
"(1.0, 0.9)",-0.007600000000000004
"(1.0, 1.0)",-0.002799999999999996
