phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.01513333333333333
"(0.1, 0.1)",-0.01293333333333333
"(0.1, 0.2)",-0.009666666666666664
"(0.1, 0.3)",-0.010466666666666664
"(0.1, 0.4)",-0.00873333333333333
"(0.1, 0.5)",-0.0028666666666666662
"(0.1, 0.6)",-0.0033333333333333327
"(0.1, 0.7)",-0.0025999999999999994
"(0.1, 0.8)",-0.0019999999999999996
"(0.1, 0.9)",-0.0008666666666666665
"(0.1, 1.0)",-0.00033333333333333327
"(0.2, 0.0)",-0.02326666666666666
"(0.2, 0.1)",-0.022199999999999994
"(0.2, 0.2)",-0.020266666666666662
"(0.2, 0.3)",-0.014799999999999997
"(0.2, 0.4)",-0.009666666666666664
"(0.2, 0.5)",-0.009266666666666664
"(0.2, 0.6)",-0.005933333333333332
"(0.2, 0.7)",-0.0010666666666666665
"(0.2, 0.8)",-0.002666666666666666
"(0.2, 0.9)",-0.0009333333333333329
"(0.2, 1.0)",-0.001733333333333333
"(0.3, 0.0)",-0.03753333333333333
"(0.3, 0.1)",-0.028599999999999993
"(0.3, 0.2)",-0.025599999999999994
"(0.3, 0.3)",-0.024999999999999994
"(0.3, 0.4)",-0.020533333333333327
"(0.3, 0.5)",-0.009666666666666665
"(0.3, 0.6)",-0.010199999999999999
"(0.3, 0.7)",-0.0023333333333333327
"(0.3, 0.8)",-0.0013999999999999998
"(0.3, 0.9)",-0.004
"(0.3, 1.0)",-0.003533333333333333
"(0.4, 0.0)",-0.04293333333333333
"(0.4, 0.1)",-0.04173333333333333
"(0.4, 0.2)",-0.036599999999999994
"(0.4, 0.3)",-0.029666666666666668
"(0.4, 0.4)",-0.035333333333333335
"(0.4, 0.5)",-0.023733333333333332
"(0.4, 0.6)",-0.011199999999999998
"(0.4, 0.7)",-0.009733333333333333
"(0.4, 0.8)",-0.008400000000000001
"(0.4, 0.9)",-0.0037333333333333316
"(0.4, 1.0)",-0.0022666666666666673
"(0.5, 0.0)",-0.05526666666666667
"(0.5, 0.1)",-0.05073333333333334
"(0.5, 0.2)",-0.04580000000000001
"(0.5, 0.3)",-0.03666666666666667
"(0.5, 0.4)",-0.034
"(0.5, 0.5)",-0.032933333333333335
"(0.5, 0.6)",-0.0274
"(0.5, 0.7)",-0.01826666666666667
"(0.5, 0.8)",-0.011866666666666668
"(0.5, 0.9)",-0.0063999999999999994
"(0.5, 1.0)",-0.009600000000000003
"(0.6, 0.0)",-0.06860000000000002
"(0.6, 0.1)",-0.05353333333333335
"(0.6, 0.2)",-0.06020000000000002
"(0.6, 0.3)",-0.06313333333333335
"(0.6, 0.4)",-0.05093333333333335
"(0.6, 0.5)",-0.037000000000000005
"(0.6, 0.6)",-0.034800000000000005
"(0.6, 0.7)",-0.017733333333333337
"(0.6, 0.8)",-0.012799999999999999
"(0.6, 0.9)",-0.012866666666666669
"(0.6, 1.0)",-0.004733333333333334
"(0.7, 0.0)",-0.08453333333333338
"(0.7, 0.1)",-0.08946666666666671
"(0.7, 0.2)",-0.08113333333333336
"(0.7, 0.3)",-0.07646666666666668
"(0.7, 0.4)",-0.06560000000000002
"(0.7, 0.5)",-0.05226666666666668
"(0.7, 0.6)",-0.042133333333333335
"(0.7, 0.7)",-0.03493333333333334
"(0.7, 0.8)",-0.02846666666666667
"(0.7, 0.9)",-0.0176
"(0.7, 1.0)",-0.014400000000000001
"(0.8, 0.0)",-0.10480000000000007
"(0.8, 0.1)",-0.10060000000000005
"(0.8, 0.2)",-0.0886666666666667
"(0.8, 0.3)",-0.08673333333333336
"(0.8, 0.4)",-0.08540000000000002
"(0.8, 0.5)",-0.08493333333333333
"(0.8, 0.6)",-0.06206666666666667
"(0.8, 0.7)",-0.0556
"(0.8, 0.8)",-0.03613333333333333
"(0.8, 0.9)",-0.03746666666666666
"(0.8, 1.0)",-0.02113333333333333
"(0.9, 0.0)",-0.12366666666666674
"(0.9, 0.1)",-0.12140000000000005
"(0.9, 0.2)",-0.11820000000000003
"(0.9, 0.3)",-0.10893333333333334
"(0.9, 0.4)",-0.10226666666666667
"(0.9, 0.5)",-0.09573333333333334
"(0.9, 0.6)",-0.0706
"(0.9, 0.7)",-0.06813333333333334
"(0.9, 0.8)",-0.04566666666666666
"(0.9, 0.9)",-0.03553333333333334
"(0.9, 1.0)",-0.02833333333333333
"(1.0, 0.0)",-0.12940000000000007
"(1.0, 0.1)",-0.12913333333333338
"(1.0, 0.2)",-0.12026666666666669
"(1.0, 0.3)",-0.11626666666666668
"(1.0, 0.4)",-0.11726666666666667
"(1.0, 0.5)",-0.09706666666666668
"(1.0, 0.6)",-0.08606666666666667
"(1.0, 0.7)",-0.07026666666666666
"(1.0, 0.8)",-0.049466666666666666
"(1.0, 0.9)",-0.0404
"(1.0, 1.0)",-0.03133333333333333
