phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.019066666666666662
"(0.0, 0.2)",-0.022799999999999994
"(0.0, 0.3)",-0.024599999999999993
"(0.0, 0.4)",-0.02846666666666666
"(0.0, 0.5)",-0.017133333333333334
"(0.0, 0.6)",-0.006
"(0.0, 0.7)",-0.005333333333333334
"(0.0, 0.8)",-0.0028000000000000043
"(0.0, 0.9)",-0.0022
"(0.0, 1.0)",-0.0003999999999999997
"(0.1, 0.0)",0
"(0.1, 0.1)",-0.011199999999999998
"(0.1, 0.2)",-0.019799999999999995
"(0.1, 0.3)",-0.025199999999999993
"(0.1, 0.4)",-0.02433333333333333
"(0.1, 0.5)",-0.012533333333333334
"(0.1, 0.6)",-0.01766666666666667
"(0.1, 0.7)",-0.007933333333333336
"(0.1, 0.8)",-0.004400000000000002
"(0.1, 0.9)",-0.0008666666666666674
"(0.1, 1.0)",0.0004666666666666661
"(0.2, 0.0)",0
"(0.2, 0.1)",-0.006533333333333332
"(0.2, 0.2)",-0.02133333333333333
"(0.2, 0.3)",-0.01793333333333333
"(0.2, 0.4)",-0.021199999999999997
"(0.2, 0.5)",-0.008799999999999999
"(0.2, 0.6)",-0.007933333333333334
"(0.2, 0.7)",-0.005266666666666669
"(0.2, 0.8)",0.0022666666666666673
"(0.2, 0.9)",0.0010666666666666656
"(0.2, 1.0)",0.004933333333333336
"(0.3, 0.0)",0
"(0.3, 0.1)",-0.007133333333333332
"(0.3, 0.2)",-0.015999999999999997
"(0.3, 0.3)",-0.01533333333333333
"(0.3, 0.4)",-0.019466666666666663
"(0.3, 0.5)",-0.014599999999999998
"(0.3, 0.6)",-0.011133333333333337
"(0.3, 0.7)",-0.006533333333333338
"(0.3, 0.8)",-1.3322676295501879e-18
"(0.3, 0.9)",0.0045333333333333345
"(0.3, 1.0)",0.00046666666666666677
"(0.4, 0.0)",0
"(0.4, 0.1)",-0.0002666666666666666
"(0.4, 0.2)",-0.006533333333333332
"(0.4, 0.3)",-0.015533333333333331
"(0.4, 0.4)",-0.0116
"(0.4, 0.5)",-0.017666666666666667
"(0.4, 0.6)",-0.012199999999999999
"(0.4, 0.7)",-0.004800000000000001
"(0.4, 0.8)",-0.0018000000000000008
"(0.4, 0.9)",0.0008
"(0.4, 1.0)",0.0008000000000000011
"(0.5, 0.0)",0
"(0.5, 0.1)",-0.005666666666666665
"(0.5, 0.2)",-0.012666666666666665
"(0.5, 0.3)",-0.01653333333333333
"(0.5, 0.4)",-0.014866666666666663
"(0.5, 0.5)",-0.0038000000000000026
"(0.5, 0.6)",-0.006533333333333339
"(0.5, 0.7)",-0.0009999999999999998
"(0.5, 0.8)",-0.004466666666666663
"(0.5, 0.9)",0.0010666666666666682
"(0.5, 1.0)",-0.00013333333333333554
"(0.6, 0.0)",0
"(0.6, 0.1)",-0.00046666666666666655
"(0.6, 0.2)",-0.006266666666666665
"(0.6, 0.3)",-0.008799999999999999
"(0.6, 0.4)",-0.008599999999999998
"(0.6, 0.5)",0.0007333333333333364
"(0.6, 0.6)",-0.0031333333333333374
"(0.6, 0.7)",0.005666666666666673
"(0.6, 0.8)",0.0037333333333333316
"(0.6, 0.9)",-0.0021333333333333317
"(0.6, 1.0)",0.003666666666666661
"(0.7, 0.0)",0
"(0.7, 0.1)",-0.0029333333333333325
"(0.7, 0.2)",-0.0005333333333333327
"(0.7, 0.3)",-0.0012666666666666653
"(0.7, 0.4)",-0.0016000000000000025
"(0.7, 0.5)",-0.021333333333333333
"(0.7, 0.6)",-0.0016666666666666661
"(0.7, 0.7)",0.0008000000000000018
"(0.7, 0.8)",-0.001866666666666667
"(0.7, 0.9)",-0.00026666666666666863
"(0.7, 1.0)",-0.002133333333333332
"(0.8, 0.0)",0
"(0.8, 0.1)",0.0006
"(0.8, 0.2)",-0.002066666666666666
"(0.8, 0.3)",0.0027333333333333324
"(0.8, 0.4)",-0.0012666666666666664
"(0.8, 0.5)",0.003399999999999997
"(0.8, 0.6)",0.0018666666666666666
"(0.8, 0.7)",-0.007199999999999996
"(0.8, 0.8)",0.005733333333333334
"(0.8, 0.9)",-0.0007999999999999945
"(0.8, 1.0)",0.0018666666666666673
"(0.9, 0.0)",0
"(0.9, 0.1)",0.0050666666666666655
"(0.9, 0.2)",0.005599999999999999
"(0.9, 0.3)",-0.0029333333333333342
"(0.9, 0.4)",0.0030666666666666715
"(0.9, 0.5)",-0.004399999999999998
"(0.9, 0.6)",0.003333333333333333
"(0.9, 0.7)",0.013000000000000006
"(0.9, 0.8)",-0.0029999999999999988
"(0.9, 0.9)",0.0053333333333333306
"(0.9, 1.0)",-0.0036666666666666627
"(1.0, 0.0)",0
"(1.0, 0.1)",0.00046666666666666666
"(1.0, 0.2)",0.004133333333333332
"(1.0, 0.3)",0.0004666666666666678
"(1.0, 0.4)",-0.0009333333333333315
"(1.0, 0.5)",0.008133333333333333
"(1.0, 0.6)",-0.0026666666666666622
"(1.0, 0.7)",-0.005133333333333332
"(1.0, 0.8)",0.005999999999999999
"(1.0, 0.9)",-0.004133333333333336
"(1.0, 1.0)",-0.004066666666666662
