phi_sui,phi_rev
"(0.0, 0.0)",-0.03379999999999988
"(0.0, 0.1)",-0.035666666666666645
"(0.0, 0.2)",-0.03413333333333334
"(0.0, 0.3)",-0.031066666666666687
"(0.0, 0.4)",-0.031200000000000012
"(0.0, 0.5)",-0.03346666666666666
"(0.0, 0.6)",-0.023666666666666662
"(0.0, 0.7)",-0.033999999999999996
"(0.0, 0.8)",-0.010599999999999991
"(0.0, 0.9)",-0.013266666666666645
"(0.0, 1.0)",-0.008866666666666651
"(0.1, 0.0)",-0.0436666666666667
"(0.1, 0.1)",-0.04353333333333334
"(0.1, 0.2)",-0.04206666666666668
"(0.1, 0.3)",-0.04340000000000001
"(0.1, 0.4)",-0.03393333333333333
"(0.1, 0.5)",-0.032266666666666666
"(0.1, 0.6)",-0.012400000000000001
"(0.1, 0.7)",-0.02446666666666666
"(0.1, 0.8)",-0.018933333333333344
"(0.1, 0.9)",-0.015600000000000003
"(0.1, 1.0)",-0.009933333333333344
"(0.2, 0.0)",-0.042866666666666685
"(0.2, 0.1)",-0.04846666666666668
"(0.2, 0.2)",-0.04533333333333332
"(0.2, 0.3)",-0.046466666666666684
"(0.2, 0.4)",-0.0398
"(0.2, 0.5)",-0.01653333333333334
"(0.2, 0.6)",-0.018733333333333317
"(0.2, 0.7)",-0.03
"(0.2, 0.8)",-0.017400000000000006
"(0.2, 0.9)",-0.01733333333333335
"(0.2, 1.0)",0.0029333333333333364
"(0.3, 0.0)",-0.04606666666666667
"(0.3, 0.1)",-0.04866666666666668
"(0.3, 0.2)",-0.048333333333333325
"(0.3, 0.3)",-0.04926666666666667
"(0.3, 0.4)",-0.0356
"(0.3, 0.5)",-0.04613333333333333
"(0.3, 0.6)",-0.0334
"(0.3, 0.7)",-0.011599999999999997
"(0.3, 0.8)",-0.008799999999999999
"(0.3, 0.9)",-0.00333333333333333
"(0.3, 1.0)",-0.007133333333333325
"(0.4, 0.0)",-0.04813333333333332
"(0.4, 0.1)",-0.04279999999999999
"(0.4, 0.2)",-0.04873333333333333
"(0.4, 0.3)",-0.0504
"(0.4, 0.4)",-0.04953333333333333
"(0.4, 0.5)",-0.04086666666666666
"(0.4, 0.6)",-0.043133333333333336
"(0.4, 0.7)",-0.020533333333333334
"(0.4, 0.8)",-0.007733333333333347
"(0.4, 0.9)",-0.014600000000000014
"(0.4, 1.0)",-0.0024000000000000067
"(0.5, 0.0)",-0.06166666666666665
"(0.5, 0.1)",-0.059999999999999984
"(0.5, 0.2)",-0.05113333333333334
"(0.5, 0.3)",-0.053133333333333324
"(0.5, 0.4)",-0.0696
"(0.5, 0.5)",-0.05426666666666667
"(0.5, 0.6)",-0.024666666666666677
"(0.5, 0.7)",-0.016133333333333336
"(0.5, 0.8)",-0.009333333333333332
"(0.5, 0.9)",-0.011666666666666672
"(0.5, 1.0)",-0.014599999999999985
"(0.6, 0.0)",-0.07293333333333331
"(0.6, 0.1)",-0.07706666666666666
"(0.6, 0.2)",-0.07193333333333335
"(0.6, 0.3)",-0.057999999999999996
"(0.6, 0.4)",-0.056533333333333345
"(0.6, 0.5)",-0.055933333333333335
"(0.6, 0.6)",-0.03553333333333334
"(0.6, 0.7)",-0.020266666666666638
"(0.6, 0.8)",-0.00586666666666666
"(0.6, 0.9)",-0.012733333333333315
"(0.6, 1.0)",-0.019933333333333334
"(0.7, 0.0)",-0.08573333333333333
"(0.7, 0.1)",-0.09006666666666666
"(0.7, 0.2)",-0.08393333333333332
"(0.7, 0.3)",-0.08573333333333333
"(0.7, 0.4)",-0.07893333333333334
"(0.7, 0.5)",-0.05906666666666667
"(0.7, 0.6)",-0.05406666666666667
"(0.7, 0.7)",-0.05013333333333335
"(0.7, 0.8)",-0.033200000000000014
"(0.7, 0.9)",-0.029533333333333335
"(0.7, 1.0)",-0.014133333333333343
"(0.8, 0.0)",-0.10340000000000006
"(0.8, 0.1)",-0.11660000000000001
"(0.8, 0.2)",-0.10166666666666666
"(0.8, 0.3)",-0.07393333333333334
"(0.8, 0.4)",-0.0902
"(0.8, 0.5)",-0.0702
"(0.8, 0.6)",-0.0625333333333333
"(0.8, 0.7)",-0.05673333333333332
"(0.8, 0.8)",-0.03953333333333331
"(0.8, 0.9)",-0.051333333333333335
"(0.8, 1.0)",-0.008
"(0.9, 0.0)",-0.12286666666666675
"(0.9, 0.1)",-0.11580000000000003
"(0.9, 0.2)",-0.10766666666666666
"(0.9, 0.3)",-0.10019999999999998
"(0.9, 0.4)",-0.10353333333333332
"(0.9, 0.5)",-0.09006666666666668
"(0.9, 0.6)",-0.08360000000000001
"(0.9, 0.7)",-0.055999999999999994
"(0.9, 0.8)",-0.03739999999999997
"(0.9, 0.9)",-0.03273333333333334
"(0.9, 1.0)",-0.0612666666666667
"(1.0, 0.0)",-0.12900000000000014
"(1.0, 0.1)",-0.12633333333333335
"(1.0, 0.2)",-0.11486666666666667
"(1.0, 0.3)",-0.10773333333333333
"(1.0, 0.4)",-0.11673333333333334
"(1.0, 0.5)",-0.10759999999999999
"(1.0, 0.6)",-0.08480000000000003
"(1.0, 0.7)",-0.0705333333333333
"(1.0, 0.8)",-0.01973333333333333
"(1.0, 0.9)",-0.03813333333333334
"(1.0, 1.0)",-0.030599999999999985
