phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.002
"(0.1, 0.1)",-0.002
"(0.1, 0.2)",0.004
"(0.1, 0.3)",0.005
"(0.1, 0.4)",-0.009
"(0.1, 0.5)",0.008
"(0.1, 0.6)",0.006
"(0.1, 0.7)",-0.003
"(0.1, 0.8)",0.001
"(0.1, 0.9)",-0.003
"(0.1, 1.0)",-0.001
"(0.2, 0.0)",-0.002
"(0.2, 0.1)",-0.003
"(0.2, 0.2)",-0.001
"(0.2, 0.3)",0
"(0.2, 0.4)",-0.015
"(0.2, 0.5)",0.004
"(0.2, 0.6)",0.007
"(0.2, 0.7)",0.003
"(0.2, 0.8)",-0.003
"(0.2, 0.9)",-0.004
"(0.2, 1.0)",-0.004
"(0.3, 0.0)",-0.006
"(0.3, 0.1)",0.006
"(0.3, 0.2)",-0.01
"(0.3, 0.3)",-0.004
"(0.3, 0.4)",0.011
"(0.3, 0.5)",-0.005
"(0.3, 0.6)",-0.014
"(0.3, 0.7)",0.014
"(0.3, 0.8)",0.002
"(0.3, 0.9)",-0.004
"(0.3, 1.0)",0.003
"(0.4, 0.0)",-0.003
"(0.4, 0.1)",0.001
"(0.4, 0.2)",-0.011
"(0.4, 0.3)",-0.006
"(0.4, 0.4)",-0.017
"(0.4, 0.5)",0.001
"(0.4, 0.6)",0.005
"(0.4, 0.7)",-0.012
"(0.4, 0.8)",0.002
"(0.4, 0.9)",-0.008
"(0.4, 1.0)",-0.004
"(0.5, 0.0)",-0.006
"(0.5, 0.1)",-0.01
"(0.5, 0.2)",-0.022
"(0.5, 0.3)",-0.008
"(0.5, 0.4)",-0.005
"(0.5, 0.5)",-0.009
"(0.5, 0.6)",0.005
"(0.5, 0.7)",-0.004
"(0.5, 0.8)",-0.003
"(0.5, 0.9)",-0.012
"(0.5, 1.0)",-0.016
"(0.6, 0.0)",-0.006
"(0.6, 0.1)",0.012
"(0.6, 0.2)",-0.001
"(0.6, 0.3)",-0.009
"(0.6, 0.4)",-0.007
"(0.6, 0.5)",-0.011
"(0.6, 0.6)",-0.003
"(0.6, 0.7)",-0.02
"(0.6, 0.8)",-0.005
"(0.6, 0.9)",-0.023
"(0.6, 1.0)",-0.007
"(0.7, 0.0)",-0.009
"(0.7, 0.1)",-0.007
"(0.7, 0.2)",-0.045
"(0.7, 0.3)",-0.016
"(0.7, 0.4)",-0.001
"(0.7, 0.5)",-0.001
"(0.7, 0.6)",-0.02
"(0.7, 0.7)",-0.015
"(0.7, 0.8)",-0.021
"(0.7, 0.9)",-0.022
"(0.7, 1.0)",-0.03
"(0.8, 0.0)",-0.023
"(0.8, 0.1)",-0.018
"(0.8, 0.2)",-0.05
"(0.8, 0.3)",0.006
"(0.8, 0.4)",-0.045
"(0.8, 0.5)",-0.014
"(0.8, 0.6)",-0.014
"(0.8, 0.7)",-0.038
"(0.8, 0.8)",-0.017
"(0.8, 0.9)",-0.021
"(0.8, 1.0)",-0.008
"(0.9, 0.0)",-0.01
"(0.9, 0.1)",-0.021
"(0.9, 0.2)",0.011
"(0.9, 0.3)",-0.014
"(0.9, 0.4)",0
"(0.9, 0.5)",-0.012
"(0.9, 0.6)",0.003
"(0.9, 0.7)",-0.017
"(0.9, 0.8)",0.015
"(0.9, 0.9)",-0.051
"(0.9, 1.0)",0.033
"(1.0, 0.0)",0.03
"(1.0, 0.1)",0.041
"(1.0, 0.2)",0.058
"(1.0, 0.3)",-0.031
"(1.0, 0.4)",0.017
"(1.0, 0.5)",0.002
"(1.0, 0.6)",-0.031
"(1.0, 0.7)",-0.015
"(1.0, 0.8)",0.034
"(1.0, 0.9)",-0.004
"(1.0, 1.0)",0.006
