phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.029933333333333326
"(0.0, 0.2)",-0.05339999999999999
"(0.0, 0.3)",-0.06619999999999998
"(0.0, 0.4)",-0.07379999999999999
"(0.0, 0.5)",-0.05713333333333333
"(0.0, 0.6)",-0.030266666666666667
"(0.0, 0.7)",-0.016533333333333337
"(0.0, 0.8)",-0.008866666666666674
"(0.0, 0.9)",-0.0030666666666666694
"(0.0, 1.0)",-0.001933333333333335
"(0.1, 0.0)",-0.06746666666666666
"(0.1, 0.1)",-0.0869333333333333
"(0.1, 0.2)",-0.09999999999999998
"(0.1, 0.3)",-0.11233333333333331
"(0.1, 0.4)",-0.09953333333333331
"(0.1, 0.5)",-0.07046666666666666
"(0.1, 0.6)",-0.051000000000000004
"(0.1, 0.7)",-0.024066666666666667
"(0.1, 0.8)",-0.006600000000000003
"(0.1, 0.9)",6.666666666666843e-05
"(0.1, 1.0)",-0.0015333333333333327
"(0.2, 0.0)",-0.15526666666666664
"(0.2, 0.1)",-0.15513333333333332
"(0.2, 0.2)",-0.15873333333333328
"(0.2, 0.3)",-0.14839999999999998
"(0.2, 0.4)",-0.13686666666666664
"(0.2, 0.5)",-0.11386666666666664
"(0.2, 0.6)",-0.058066666666666655
"(0.2, 0.7)",-0.04139999999999999
"(0.2, 0.8)",-0.004
"(0.2, 0.9)",-0.0021333333333333326
"(0.2, 1.0)",6.666666666666453e-05
"(0.3, 0.0)",-0.23126666666666662
"(0.3, 0.1)",-0.2282
"(0.3, 0.2)",-0.21619999999999995
"(0.3, 0.3)",-0.21806666666666663
"(0.3, 0.4)",-0.16986666666666664
"(0.3, 0.5)",-0.13973333333333332
"(0.3, 0.6)",-0.0954
"(0.3, 0.7)",-0.05773333333333333
"(0.3, 0.8)",-0.026733333333333324
"(0.3, 0.9)",-0.01053333333333333
"(0.3, 1.0)",-0.006399999999999996
"(0.4, 0.0)",-0.30439999999999995
"(0.4, 0.1)",-0.3049333333333333
"(0.4, 0.2)",-0.29019999999999996
"(0.4, 0.3)",-0.2596666666666666
"(0.4, 0.4)",-0.23279999999999998
"(0.4, 0.5)",-0.2084
"(0.4, 0.6)",-0.14086666666666667
"(0.4, 0.7)",-0.09813333333333334
"(0.4, 0.8)",-0.05319999999999998
"(0.4, 0.9)",-0.02233333333333333
"(0.4, 1.0)",-0.01686666666666667
"(0.5, 0.0)",-0.3859333333333333
"(0.5, 0.1)",-0.37099999999999994
"(0.5, 0.2)",-0.3575333333333333
"(0.5, 0.3)",-0.33366666666666667
"(0.5, 0.4)",-0.309
"(0.5, 0.5)",-0.2558666666666667
"(0.5, 0.6)",-0.20353333333333334
"(0.5, 0.7)",-0.14706666666666668
"(0.5, 0.8)",-0.09566666666666668
"(0.5, 0.9)",-0.06913333333333334
"(0.5, 1.0)",-0.048133333333333334
"(0.6, 0.0)",-0.4598
"(0.6, 0.1)",-0.4458
"(0.6, 0.2)",-0.4242
"(0.6, 0.3)",-0.4232666666666667
"(0.6, 0.4)",-0.40326666666666666
"(0.6, 0.5)",-0.33780000000000004
"(0.6, 0.6)",-0.2926
"(0.6, 0.7)",-0.21800000000000003
"(0.6, 0.8)",-0.14053333333333334
"(0.6, 0.9)",-0.09506666666666667
"(0.6, 1.0)",-0.06113333333333335
"(0.7, 0.0)",-0.5314
"(0.7, 0.1)",-0.5109333333333334
"(0.7, 0.2)",-0.501
"(0.7, 0.3)",-0.49233333333333335
"(0.7, 0.4)",-0.45046666666666674
"(0.7, 0.5)",-0.4133333333333334
"(0.7, 0.6)",-0.3578
"(0.7, 0.7)",-0.28813333333333335
"(0.7, 0.8)",-0.21500000000000002
"(0.7, 0.9)",-0.16313333333333335
"(0.7, 1.0)",-0.15746666666666667
"(0.8, 0.0)",-0.5848666666666668
"(0.8, 0.1)",-0.5681333333333334
"(0.8, 0.2)",-0.5610000000000002
"(0.8, 0.3)",-0.5294000000000001
"(0.8, 0.4)",-0.53
"(0.8, 0.5)",-0.5088666666666667
"(0.8, 0.6)",-0.4654666666666667
"(0.8, 0.7)",-0.4053333333333334
"(0.8, 0.8)",-0.3164
"(0.8, 0.9)",-0.24826666666666666
"(0.8, 1.0)",-0.24426666666666666
"(0.9, 0.0)",-0.6006000000000001
"(0.9, 0.1)",-0.5808000000000001
"(0.9, 0.2)",-0.5914666666666668
"(0.9, 0.3)",-0.5884
"(0.9, 0.4)",-0.5734
"(0.9, 0.5)",-0.5490666666666667
"(0.9, 0.6)",-0.518
"(0.9, 0.7)",-0.47713333333333335
"(0.9, 0.8)",-0.38586666666666664
"(0.9, 0.9)",-0.3454
"(0.9, 1.0)",-0.30946666666666667
"(1.0, 0.0)",-0.6215333333333334
"(1.0, 0.1)",-0.6004000000000002
"(1.0, 0.2)",-0.6101333333333333
"(1.0, 0.3)",-0.5852666666666667
"(1.0, 0.4)",-0.5775333333333333
"(1.0, 0.5)",-0.5457333333333334
"(1.0, 0.6)",-0.534
"(1.0, 0.7)",-0.5013333333333334
"(1.0, 0.8)",-0.40279999999999994
"(1.0, 0.9)",-0.35546666666666665
"(1.0, 1.0)",-0.3235333333333333
