phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",-0.03700000000000007
"(0.0, 0.2)",-0.05340000000000002
"(0.0, 0.3)",-0.0588
"(0.0, 0.4)",-0.07446666666666665
"(0.0, 0.5)",-0.0592
"(0.0, 0.6)",-0.03013333333333334
"(0.0, 0.7)",-0.020066666666666656
"(0.0, 0.8)",-0.008666666666666661
"(0.0, 0.9)",-0.0009333333333333327
"(0.0, 1.0)",-0.003066666666666669
"(0.1, 0.0)",0.035133333333333336
"(0.1, 0.1)",0.0021333333333333196
"(0.1, 0.2)",-0.014799999999999992
"(0.1, 0.3)",-0.028800000000000027
"(0.1, 0.4)",-0.036400000000000016
"(0.1, 0.5)",-0.025800000000000003
"(0.1, 0.6)",0.008866666666666665
"(0.1, 0.7)",0.021933333333333332
"(0.1, 0.8)",0.03039999999999999
"(0.1, 0.9)",0.03459999999999999
"(0.1, 1.0)",0.03413333333333332
"(0.2, 0.0)",0.050600000000000006
"(0.2, 0.1)",0.02126666666666668
"(0.2, 0.2)",0.017066666666666678
"(0.2, 0.3)",0.009733333333333328
"(0.2, 0.4)",-0.016999999999999994
"(0.2, 0.5)",-0.0020666666666666585
"(0.2, 0.6)",0.025266666666666666
"(0.2, 0.7)",0.04886666666666666
"(0.2, 0.8)",0.06173333333333334
"(0.2, 0.9)",0.05206666666666667
"(0.2, 1.0)",0.05453333333333333
"(0.3, 0.0)",0.06193333333333332
"(0.3, 0.1)",0.043800000000000006
"(0.3, 0.2)",0.031200000000000006
"(0.3, 0.3)",0.008466666666666657
"(0.3, 0.4)",0.01913333333333333
"(0.3, 0.5)",0.027800000000000002
"(0.3, 0.6)",0.04233333333333333
"(0.3, 0.7)",0.06986666666666667
"(0.3, 0.8)",0.07313333333333334
"(0.3, 0.9)",0.06306666666666666
"(0.3, 1.0)",0.05346666666666667
"(0.4, 0.0)",0.09113333333333332
"(0.4, 0.1)",0.09206666666666667
"(0.4, 0.2)",0.0388
"(0.4, 0.3)",0.0558
"(0.4, 0.4)",0.02926666666666667
"(0.4, 0.5)",0.03159999999999998
"(0.4, 0.6)",0.0774
"(0.4, 0.7)",0.061000000000000006
"(0.4, 0.8)",0.08466666666666668
"(0.4, 0.9)",0.07653333333333333
"(0.4, 1.0)",0.08286666666666667
"(0.5, 0.0)",0.06333333333333331
"(0.5, 0.1)",0.0678
"(0.5, 0.2)",0.056666666666666664
"(0.5, 0.3)",0.04546666666666666
"(0.5, 0.4)",0.04533333333333333
"(0.5, 0.5)",0.06139999999999999
"(0.5, 0.6)",0.05086666666666668
"(0.5, 0.7)",0.06999999999999999
"(0.5, 0.8)",0.0985333333333333
"(0.5, 0.9)",0.08473333333333335
"(0.5, 1.0)",0.08053333333333332
"(0.6, 0.0)",0.1228
"(0.6, 0.1)",0.07593333333333332
"(0.6, 0.2)",0.0886
"(0.6, 0.3)",0.07300000000000001
"(0.6, 0.4)",0.05659999999999999
"(0.6, 0.5)",0.06460000000000002
"(0.6, 0.6)",0.03499999999999999
"(0.6, 0.7)",0.08213333333333335
"(0.6, 0.8)",0.06420000000000002
"(0.6, 0.9)",0.08866666666666666
"(0.6, 1.0)",0.09473333333333335
"(0.7, 0.0)",0.07780000000000002
"(0.7, 0.1)",0.07973333333333335
"(0.7, 0.2)",0.08573333333333334
"(0.7, 0.3)",0.0709333333333333
"(0.7, 0.4)",0.03833333333333336
"(0.7, 0.5)",0.051133333333333315
"(0.7, 0.6)",0.06706666666666666
"(0.7, 0.7)",0.058333333333333355
"(0.7, 0.8)",0.03573333333333336
"(0.7, 0.9)",0.09146666666666665
"(0.7, 1.0)",0.049999999999999975
"(0.8, 0.0)",0.05559999999999999
"(0.8, 0.1)",0.04439999999999999
"(0.8, 0.2)",0.02953333333333333
"(0.8, 0.3)",0.03913333333333333
"(0.8, 0.4)",0.03806666666666667
"(0.8, 0.5)",0.020733333333333343
"(0.8, 0.6)",0.019733333333333332
"(0.8, 0.7)",-0.013933333333333332
"(0.8, 0.8)",0.03580000000000001
"(0.8, 0.9)",0.047200000000000006
"(0.8, 1.0)",0.0008000000000000301
"(0.9, 0.0)",0.019799999999999995
"(0.9, 0.1)",0.008866666666666643
"(0.9, 0.2)",0.016799999999999992
"(0.9, 0.3)",0.009599999999999997
"(0.9, 0.4)",0.0146
"(0.9, 0.5)",-0.005866666666666695
"(0.9, 0.6)",-0.010666666666666682
"(0.9, 0.7)",-0.009733333333333347
"(0.9, 0.8)",-0.016800000000000006
"(0.9, 0.9)",0.007066666666666668
"(0.9, 1.0)",-0.0060666666666666655
"(1.0, 0.0)",0.0011999999999999869
"(1.0, 0.1)",0.006666666666666672
"(1.0, 0.2)",-0.004133333333333356
"(1.0, 0.3)",0.01626666666666665
"(1.0, 0.4)",-0.03440000000000002
"(1.0, 0.5)",0.0021333333333333256
"(1.0, 0.6)",-0.04426666666666666
"(1.0, 0.7)",-0.007266666666666681
"(1.0, 0.8)",0.012333333333333309
"(1.0, 0.9)",-0.02253333333333333
"(1.0, 1.0)",-0.011333333333333305
