phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",0
"(0.0, 0.2)",0
"(0.0, 0.3)",0
"(0.0, 0.4)",0
"(0.0, 0.5)",0
"(0.0, 0.6)",0
"(0.0, 0.7)",0
"(0.0, 0.8)",0
"(0.0, 0.9)",0
"(0.0, 1.0)",0
"(0.1, 0.0)",-0.05339999999999999
"(0.1, 0.1)",-0.04759999999999999
"(0.1, 0.2)",-0.045666666666666654
"(0.1, 0.3)",-0.04213333333333332
"(0.1, 0.4)",-0.03326666666666666
"(0.1, 0.5)",-0.028399999999999995
"(0.1, 0.6)",-0.02326666666666666
"(0.1, 0.7)",-0.012133333333333331
"(0.1, 0.8)",-0.006666666666666665
"(0.1, 0.9)",0.0012666666666666664
"(0.1, 1.0)",0.00019999999999999996
"(0.2, 0.0)",-0.11246666666666665
"(0.2, 0.1)",-0.10866666666666665
"(0.2, 0.2)",-0.11619999999999998
"(0.2, 0.3)",-0.09426666666666665
"(0.2, 0.4)",-0.08553333333333332
"(0.2, 0.5)",-0.06826666666666666
"(0.2, 0.6)",-0.04999999999999999
"(0.2, 0.7)",-0.04146666666666666
"(0.2, 0.8)",-0.02293333333333333
"(0.2, 0.9)",-0.017666666666666664
"(0.2, 1.0)",-0.009533333333333333
"(0.3, 0.0)",-0.19226666666666667
"(0.3, 0.1)",-0.17673333333333333
"(0.3, 0.2)",-0.16533333333333333
"(0.3, 0.3)",-0.1666
"(0.3, 0.4)",-0.14446666666666666
"(0.3, 0.5)",-0.11986666666666666
"(0.3, 0.6)",-0.0954
"(0.3, 0.7)",-0.0638
"(0.3, 0.8)",-0.050666666666666665
"(0.3, 0.9)",-0.036533333333333334
"(0.3, 1.0)",-0.029799999999999997
"(0.4, 0.0)",-0.24413333333333337
"(0.4, 0.1)",-0.2516666666666667
"(0.4, 0.2)",-0.24833333333333338
"(0.4, 0.3)",-0.23353333333333337
"(0.4, 0.4)",-0.22480000000000003
"(0.4, 0.5)",-0.19980000000000003
"(0.4, 0.6)",-0.1670666666666667
"(0.4, 0.7)",-0.12093333333333335
"(0.4, 0.8)",-0.07900000000000001
"(0.4, 0.9)",-0.0674
"(0.4, 1.0)",-0.054400000000000004
"(0.5, 0.0)",-0.34180000000000005
"(0.5, 0.1)",-0.35580000000000006
"(0.5, 0.2)",-0.3443333333333334
"(0.5, 0.3)",-0.34493333333333337
"(0.5, 0.4)",-0.32646666666666674
"(0.5, 0.5)",-0.2860666666666667
"(0.5, 0.6)",-0.2484666666666667
"(0.5, 0.7)",-0.1946666666666667
"(0.5, 0.8)",-0.14900000000000002
"(0.5, 0.9)",-0.10813333333333335
"(0.5, 1.0)",-0.10786666666666668
"(0.6, 0.0)",-0.4714
"(0.6, 0.1)",-0.47113333333333335
"(0.6, 0.2)",-0.4616
"(0.6, 0.3)",-0.4494
"(0.6, 0.4)",-0.4536
"(0.6, 0.5)",-0.40226666666666666
"(0.6, 0.6)",-0.3632666666666667
"(0.6, 0.7)",-0.28813333333333335
"(0.6, 0.8)",-0.2394666666666667
"(0.6, 0.9)",-0.18946666666666667
"(0.6, 1.0)",-0.1668
"(0.7, 0.0)",-0.6196666666666666
"(0.7, 0.1)",-0.6416666666666666
"(0.7, 0.2)",-0.6057333333333332
"(0.7, 0.3)",-0.6118666666666667
"(0.7, 0.4)",-0.5786
"(0.7, 0.5)",-0.5660666666666666
"(0.7, 0.6)",-0.5391333333333332
"(0.7, 0.7)",-0.47906666666666664
"(0.7, 0.8)",-0.3866
"(0.7, 0.9)",-0.3401333333333333
"(0.7, 1.0)",-0.3
"(0.8, 0.0)",-0.8269333333333333
"(0.8, 0.1)",-0.8206666666666667
"(0.8, 0.2)",-0.8472
"(0.8, 0.3)",-0.8124666666666667
"(0.8, 0.4)",-0.814
"(0.8, 0.5)",-0.8165333333333333
"(0.8, 0.6)",-0.7544666666666666
"(0.8, 0.7)",-0.6732
"(0.8, 0.8)",-0.6201333333333333
"(0.8, 0.9)",-0.5714666666666667
"(0.8, 1.0)",-0.4958
"(0.9, 0.0)",-1.0600666666666667
"(0.9, 0.1)",-1.0299333333333334
"(0.9, 0.2)",-1.0652
"(0.9, 0.3)",-1.0505333333333333
"(0.9, 0.4)",-1.0317333333333334
"(0.9, 0.5)",-1.0140666666666667
"(0.9, 0.6)",-0.9756666666666667
"(0.9, 0.7)",-0.9302666666666667
"(0.9, 0.8)",-0.8779333333333333
"(0.9, 0.9)",-0.8211333333333333
"(0.9, 1.0)",-0.7832666666666667
"(1.0, 0.0)",-1.1513333333333333
"(1.0, 0.1)",-1.1138666666666666
"(1.0, 0.2)",-1.1361333333333332
"(1.0, 0.3)",-1.1563999999999999
"(1.0, 0.4)",-1.1242
"(1.0, 0.5)",-1.1123333333333334
"(1.0, 0.6)",-1.0797333333333332
"(1.0, 0.7)",-1.0552666666666666
"(1.0, 0.8)",-0.9482666666666667
"(1.0, 0.9)",-0.9026
"(1.0, 1.0)",-0.8698666666666667
