phi_sui,phi_rev
"(0.0, 0.0)",-1.6961999999999997
"(0.0, 0.1)",-1.5475333333333332
"(0.0, 0.2)",-1.4541333333333333
"(0.0, 0.3)",-1.3766666666666667
"(0.0, 0.4)",-1.3062666666666667
"(0.0, 0.5)",-1.1384666666666665
"(0.0, 0.6)",-0.9760666666666666
"(0.0, 0.7)",-0.7126666666666667
"(0.0, 0.8)",-0.3899333333333333
"(0.0, 0.9)",-0.13739999999999997
"(0.0, 1.0)",-0.02726666666666662
"(0.1, 0.0)",-1.7075333333333333
"(0.1, 0.1)",-1.6123333333333334
"(0.1, 0.2)",-1.5444666666666667
"(0.1, 0.3)",-1.4655333333333334
"(0.1, 0.4)",-1.3361333333333334
"(0.1, 0.5)",-1.2284666666666666
"(0.1, 0.6)",-1.042
"(0.1, 0.7)",-0.7191333333333333
"(0.1, 0.8)",-0.39066666666666666
"(0.1, 0.9)",-0.21139999999999998
"(0.1, 1.0)",-0.04846666666666661
"(0.2, 0.0)",-1.8006666666666666
"(0.2, 0.1)",-1.6857333333333333
"(0.2, 0.2)",-1.5692
"(0.2, 0.3)",-1.5381333333333334
"(0.2, 0.4)",-1.4183999999999999
"(0.2, 0.5)",-1.2853999999999999
"(0.2, 0.6)",-1.0933333333333333
"(0.2, 0.7)",-0.8008000000000001
"(0.2, 0.8)",-0.4756666666666666
"(0.2, 0.9)",-0.16653333333333326
"(0.2, 1.0)",-0.11473333333333328
"(0.3, 0.0)",-1.8606
"(0.3, 0.1)",-1.7558
"(0.3, 0.2)",-1.648
"(0.3, 0.3)",-1.6235333333333333
"(0.3, 0.4)",-1.5233999999999999
"(0.3, 0.5)",-1.3769333333333333
"(0.3, 0.6)",-1.1639333333333333
"(0.3, 0.7)",-0.8559333333333333
"(0.3, 0.8)",-0.5526666666666666
"(0.3, 0.9)",-0.2962666666666666
"(0.3, 1.0)",-0.2036
"(0.4, 0.0)",-1.9218666666666666
"(0.4, 0.1)",-1.8458666666666668
"(0.4, 0.2)",-1.8166
"(0.4, 0.3)",-1.7472
"(0.4, 0.4)",-1.6434
"(0.4, 0.5)",-1.4993333333333332
"(0.4, 0.6)",-1.316
"(0.4, 0.7)",-0.9976
"(0.4, 0.8)",-0.6914
"(0.4, 0.9)",-0.4557999999999999
"(0.4, 1.0)",-0.2986
"(0.5, 0.0)",-2.0124666666666666
"(0.5, 0.1)",-1.9878
"(0.5, 0.2)",-1.9573333333333334
"(0.5, 0.3)",-1.8898666666666666
"(0.5, 0.4)",-1.7972
"(0.5, 0.5)",-1.7000666666666666
"(0.5, 0.6)",-1.5562666666666667
"(0.5, 0.7)",-1.2335333333333334
"(0.5, 0.8)",-0.9794666666666666
"(0.5, 0.9)",-0.5770666666666666
"(0.5, 1.0)",-0.5518666666666666
"(0.6, 0.0)",-2.0978
"(0.6, 0.1)",-2.021
"(0.6, 0.2)",-2.0399333333333334
"(0.6, 0.3)",-2.0316
"(0.6, 0.4)",-1.9909999999999999
"(0.6, 0.5)",-1.9105333333333332
"(0.6, 0.6)",-1.8173333333333332
"(0.6, 0.7)",-1.5258
"(0.6, 0.8)",-1.2683333333333333
"(0.6, 0.9)",-0.9656666666666667
"(0.6, 1.0)",-0.8435999999999999
"(0.7, 0.0)",-2.171533333333333
"(0.7, 0.1)",-2.1746666666666665
"(0.7, 0.2)",-2.1810666666666667
"(0.7, 0.3)",-2.2248
"(0.7, 0.4)",-2.1995333333333336
"(0.7, 0.5)",-2.223533333333333
"(0.7, 0.6)",-2.164066666666667
"(0.7, 0.7)",-2.0241333333333333
"(0.7, 0.8)",-1.7534
"(0.7, 0.9)",-1.4864666666666666
"(0.7, 1.0)",-1.2977333333333334
"(0.8, 0.0)",-2.1940666666666666
"(0.8, 0.1)",-2.248266666666667
"(0.8, 0.2)",-2.3169333333333335
"(0.8, 0.3)",-2.369266666666667
"(0.8, 0.4)",-2.448
"(0.8, 0.5)",-2.4152666666666667
"(0.8, 0.6)",-2.482666666666667
"(0.8, 0.7)",-2.4158
"(0.8, 0.8)",-2.321
"(0.8, 0.9)",-2.1500666666666666
"(0.8, 1.0)",-1.9424000000000001
"(0.9, 0.0)",-2.2602
"(0.9, 0.1)",-2.3102
"(0.9, 0.2)",-2.441333333333333
"(0.9, 0.3)",-2.493733333333333
"(0.9, 0.4)",-2.5629333333333335
"(0.9, 0.5)",-2.728466666666667
"(0.9, 0.6)",-2.7348
"(0.9, 0.7)",-2.7994666666666665
"(0.9, 0.8)",-2.6806666666666668
"(0.9, 0.9)",-2.6173333333333333
"(0.9, 1.0)",-2.5405333333333333
"(1.0, 0.0)",-2.328
"(1.0, 0.1)",-2.3510666666666666
"(1.0, 0.2)",-2.4628666666666668
"(1.0, 0.3)",-2.5123333333333333
"(1.0, 0.4)",-2.613933333333333
"(1.0, 0.5)",-2.7188666666666665
"(1.0, 0.6)",-2.8070666666666666
"(1.0, 0.7)",-2.9799333333333333
"(1.0, 0.8)",-2.9224666666666668
"(1.0, 0.9)",-2.8332
"(1.0, 1.0)",-2.7228
