phi_sui,phi_rev
"(0.0, 0.0)",0
"(0.0, 0.1)",-0.019
"(0.0, 0.2)",-0.043
"(0.0, 0.3)",-0.06
"(0.0, 0.4)",-0.063
"(0.0, 0.5)",-0.088
"(0.0, 0.6)",-0.142
"(0.0, 0.7)",-0.234
"(0.0, 0.8)",-0.324
"(0.0, 0.9)",-0.36
"(0.0, 1.0)",-0.307
"(0.1, 0.0)",0
"(0.1, 0.1)",0.003
"(0.1, 0.2)",-0.017
"(0.1, 0.3)",-0.048
"(0.1, 0.4)",-0.041
"(0.1, 0.5)",-0.067
"(0.1, 0.6)",-0.091
"(0.1, 0.7)",-0.201
"(0.1, 0.8)",-0.274
"(0.1, 0.9)",-0.299
"(0.1, 1.0)",-0.372
"(0.2, 0.0)",0
"(0.2, 0.1)",0.019
"(0.2, 0.2)",-0.037
"(0.2, 0.3)",-0.041
"(0.2, 0.4)",-0.079
"(0.2, 0.5)",-0.125
"(0.2, 0.6)",-0.141
"(0.2, 0.7)",-0.163
"(0.2, 0.8)",-0.285
"(0.2, 0.9)",-0.356
"(0.2, 1.0)",-0.35
"(0.3, 0.0)",0
"(0.3, 0.1)",0.006
"(0.3, 0.2)",-0.028
"(0.3, 0.3)",-0.056
"(0.3, 0.4)",-0.059
"(0.3, 0.5)",-0.112
"(0.3, 0.6)",-0.136
"(0.3, 0.7)",-0.244
"(0.3, 0.8)",-0.296
"(0.3, 0.9)",-0.339
"(0.3, 1.0)",-0.314
"(0.4, 0.0)",0
"(0.4, 0.1)",0.004
"(0.4, 0.2)",0.012
"(0.4, 0.3)",0.003
"(0.4, 0.4)",-0.045
"(0.4, 0.5)",-0.109
"(0.4, 0.6)",-0.183
"(0.4, 0.7)",-0.195
"(0.4, 0.8)",-0.256
"(0.4, 0.9)",-0.26
"(0.4, 1.0)",-0.3
"(0.5, 0.0)",0
"(0.5, 0.1)",0.006
"(0.5, 0.2)",0.012
"(0.5, 0.3)",-0.004
"(0.5, 0.4)",-0.054
"(0.5, 0.5)",-0.065
"(0.5, 0.6)",-0.124
"(0.5, 0.7)",-0.218
"(0.5, 0.8)",-0.198
"(0.5, 0.9)",-0.304
"(0.5, 1.0)",-0.304
"(0.6, 0.0)",0
"(0.6, 0.1)",0.008
"(0.6, 0.2)",-0.028
"(0.6, 0.3)",-0.006
"(0.6, 0.4)",-0.035
"(0.6, 0.5)",-0.08
"(0.6, 0.6)",-0.069
"(0.6, 0.7)",-0.205
"(0.6, 0.8)",-0.202
"(0.6, 0.9)",-0.269
"(0.6, 1.0)",-0.22
"(0.7, 0.0)",0
"(0.7, 0.1)",0.005
"(0.7, 0.2)",0.003
"(0.7, 0.3)",-0.009
"(0.7, 0.4)",-0.03
"(0.7, 0.5)",-0.02
"(0.7, 0.6)",-0.092
"(0.7, 0.7)",-0.124
"(0.7, 0.8)",-0.115
"(0.7, 0.9)",-0.194
"(0.7, 1.0)",-0.241
"(0.8, 0.0)",0
"(0.8, 0.1)",0.006
"(0.8, 0.2)",0.023
"(0.8, 0.3)",-0.02
"(0.8, 0.4)",-0.001
"(0.8, 0.5)",-0.034
"(0.8, 0.6)",0.004
"(0.8, 0.7)",-0.064
"(0.8, 0.8)",-0.063
"(0.8, 0.9)",-0.08
"(0.8, 1.0)",-0.17
"(0.9, 0.0)",0
"(0.9, 0.1)",-0.009
"(0.9, 0.2)",0.011
"(0.9, 0.3)",0.021
"(0.9, 0.4)",-0.012
"(0.9, 0.5)",-0.017
"(0.9, 0.6)",-0.02
"(0.9, 0.7)",0.022
"(0.9, 0.8)",-0.038
"(0.9, 0.9)",-0.004
"(0.9, 1.0)",-0.019
"(1.0, 0.0)",0
"(1.0, 0.1)",0.008
"(1.0, 0.2)",0.038
"(1.0, 0.3)",-0.015
"(1.0, 0.4)",0.019
"(1.0, 0.5)",-0.009
"(1.0, 0.6)",0.009
"(1.0, 0.7)",0.033
"(1.0, 0.8)",-0.031
"(1.0, 0.9)",0.008
"(1.0, 1.0)",-0.017
