phi_sui,phi_rev
"(0.0, 0.0)",0.0
"(0.0, 0.1)",0.0
"(0.0, 0.2)",0.0
"(0.0, 0.3)",0.0
"(0.0, 0.4)",0.0
"(0.0, 0.5)",0.0
"(0.0, 0.6)",0.0
"(0.0, 0.7)",0.0
"(0.0, 0.8)",0.0
"(0.0, 0.9)",0.0
"(0.0, 1.0)",0.0
"(0.1, 0.0)",0.16674407278230402
"(0.1, 0.1)",0.16737287817031085
"(0.1, 0.2)",0.17021192963443782
"(0.1, 0.3)",0.17442070571633006
"(0.1, 0.4)",0.1749750923692178
"(0.1, 0.5)",0.1722156800720681
"(0.1, 0.6)",0.17739076994883587
"(0.1, 0.7)",0.17312792942391833
"(0.1, 0.8)",0.18366619462717293
"(0.1, 0.9)",0.16979887610049604
"(0.1, 1.0)",0.17498054613258626
"(0.2, 0.0)",0.27585368450549147
"(0.2, 0.1)",0.2802184745954765
"(0.2, 0.2)",0.26848210032281344
"(0.2, 0.3)",0.27440211140033743
"(0.2, 0.4)",0.28953772520440024
"(0.2, 0.5)",0.2841184317908349
"(0.2, 0.6)",0.2810766595307719
"(0.2, 0.7)",0.2826720855556786
"(0.2, 0.8)",0.27956067668706114
"(0.2, 0.9)",0.2885884246368693
"(0.2, 1.0)",0.2889510905546694
"(0.3, 0.0)",0.3685826725713693
"(0.3, 0.1)",0.3687400112037332
"(0.3, 0.2)",0.3844172833768924
"(0.3, 0.3)",0.3873019300329259
"(0.3, 0.4)",0.3885011652203888
"(0.3, 0.5)",0.38772764704601526
"(0.3, 0.6)",0.3999169694716145
"(0.3, 0.7)",0.39458532920836137
"(0.3, 0.8)",0.39922627872125555
"(0.3, 0.9)",0.39789810897684547
"(0.3, 1.0)",0.39224151299375076
"(0.4, 0.0)",0.5077614877036873
"(0.4, 0.1)",0.5011781426217158
"(0.4, 0.2)",0.5129369442272584
"(0.4, 0.3)",0.5066363020597587
"(0.4, 0.4)",0.5130747672882959
"(0.4, 0.5)",0.5276432534947396
"(0.4, 0.6)",0.5333533362948923
"(0.4, 0.7)",0.5392687906845567
"(0.4, 0.8)",0.5487369183305167
"(0.4, 0.9)",0.5271454132695983
"(0.4, 1.0)",0.5247071795687168
"(0.5, 0.0)",0.6384951164978236
"(0.5, 0.1)",0.6582043364366872
"(0.5, 0.2)",0.649851025423622
"(0.5, 0.3)",0.6620173413843681
"(0.5, 0.4)",0.6501133393652889
"(0.5, 0.5)",0.6918157462826229
"(0.5, 0.6)",0.695655203983623
"(0.5, 0.7)",0.6834067475232727
"(0.5, 0.8)",0.688347864660582
"(0.5, 0.9)",0.7030612662015465
"(0.5, 1.0)",0.7286714164452008
"(0.6, 0.0)",0.8376603709853664
"(0.6, 0.1)",0.7810289805703198
"(0.6, 0.2)",0.8246869181437292
"(0.6, 0.3)",0.8411259567373484
"(0.6, 0.4)",0.8218945320008182
"(0.6, 0.5)",0.8562566190224996
"(0.6, 0.6)",0.8578816058982892
"(0.6, 0.7)",0.8521806842361846
"(0.6, 0.8)",0.9315849752554392
"(0.6, 0.9)",0.9478081628931987
"(0.6, 1.0)",0.9217327379067198
"(0.7, 0.0)",1.0033890098364722
"(0.7, 0.1)",0.9695690645010825
"(0.7, 0.2)",0.9658234007872116
"(0.7, 0.3)",0.9797607315518881
"(0.7, 0.4)",0.9733016458794517
"(0.7, 0.5)",1.0346291164082086
"(0.7, 0.6)",1.0367957941910189
"(0.7, 0.7)",1.0380082310629435
"(0.7, 0.8)",1.1025337478324888
"(0.7, 0.9)",1.194554356746621
"(0.7, 1.0)",1.1766771426295644
"(0.8, 0.0)",1.0659061018871514
"(0.8, 0.1)",1.1183006138465614
"(0.8, 0.2)",1.1649368003715785
"(0.8, 0.3)",1.1539632596135247
"(0.8, 0.4)",1.1559835024159548
"(0.8, 0.5)",1.1409599811419577
"(0.8, 0.6)",1.1622987800086366
"(0.8, 0.7)",1.2027117082788412
"(0.8, 0.8)",1.2240770274020578
"(0.8, 0.9)",1.3043240203411604
"(0.8, 1.0)",1.3361828676370904
"(0.9, 0.0)",1.1829207126953332
"(0.9, 0.1)",1.1768615545909509
"(0.9, 0.2)",1.1741053970932436
"(0.9, 0.3)",1.2024106861321515
"(0.9, 0.4)",1.187832691104944
"(0.9, 0.5)",1.2638971514101438
"(0.9, 0.6)",1.147552511066288
"(0.9, 0.7)",1.2832736124840372
"(0.9, 0.8)",1.2698765485947416
"(0.9, 0.9)",1.3343740416284562
"(0.9, 1.0)",1.3800451990489604
"(1.0, 0.0)",1.255371714020427
"(1.0, 0.1)",1.2191439094183558
"(1.0, 0.2)",1.2419375847924385
"(1.0, 0.3)",1.2551000954437523
"(1.0, 0.4)",1.2508196418521376
"(1.0, 0.5)",1.2360535360167273
"(1.0, 0.6)",1.217612197667366
"(1.0, 0.7)",1.2899140308935262
"(1.0, 0.8)",1.2937594900376603
"(1.0, 0.9)",1.3379923788378056
"(1.0, 1.0)",1.3057459933945548
