support_pdi,borda sum
14,139
14,160
14,159
14,166
14,159
14,177
14,163
14,143
14,141
14,135
14,142
14,164
14,151
14,169
14,135
14,156
14,158
14,164
14,155
14,181
14,143
14,141
14,151
14,160
14,157
14,171
14,112
14,142
14,159
14,185
14,154
14,156
14,177
14,164
14,141
14,146
14,159
14,140
14,127
14,156
14,142
14,132
14,144
14,159
14,141
14,163
14,169
14,141
14,163
14,154
14,183
14,166
14,175
14,169
14,172
14,152
14,169
14,139
14,118
14,164
14,173
14,157
14,167
14,136
14,159
14,150
14,162
14,122
14,141
14,182
14,183
14,166
14,149
14,150
14,162
14,143
14,156
14,158
14,137
14,172
14,126
14,158
14,154
14,145
14,171
14,175
14,147
14,146
14,159
14,157
14,177
14,121
14,123
14,179
14,158
14,150
14,175
14,177
14,175
14,147
14,152
14,129
14,116
14,149
14,172
14,174
14,154
14,167
14,144
14,157
14,146
14,148
14,157
14,171
14,142
14,145
14,161
14,157
14,128
14,120
14,161
14,122
14,134
14,157
14,145
14,178
14,171
14,167
14,146
14,148
14,183
14,142
14,126
14,157
14,143
14,151
14,148
14,164
14,152
14,132
14,181
14,163
14,134
14,156
14,173
14,136
14,162
14,149
14,149
14,132
14,179
14,139
14,163
14,146
14,191
14,180
14,157
14,145
14,168
14,168
14,167
14,165
14,153
14,130
14,152
14,148
14,163
14,160
14,193
14,150
14,132
14,162
14,152
14,175
14,141
14,177
14,153
14,156
14,130
14,172
14,147
14,156
14,142
14,150
14,103
14,175
14,145
14,178
14,151
14,130
14,169
14,169
14,165
14,180
14,168
14,127
14,169
14,163
14,169
14,156
14,182
14,154
14,115
14,154
14,166
14,135
14,150
14,126
14,156
14,150
14,152
14,164
14,148
14,166
14,170
14,126
14,139
14,136
14,176
14,134
14,146
14,138
14,132
14,167
14,163
14,160
14,171
14,133
14,153
14,126
14,159
14,165
14,157
14,162
14,136
14,173
14,129
14,154
14,157
14,144
14,104
14,147
14,138
14,132
14,122
14,151
14,136
14,165
14,156
14,133
14,161
14,125
14,125
14,133
14,186
14,190
14,164
14,166
14,113
14,158
14,160
14,150
14,140
14,131
14,153
14,132
14,134
14,162
14,132
14,178
14,181
14,163
14,145
14,131
14,162
14,139
14,162
14,140
14,140
14,160
14,160
14,171
14,165
14,138
14,148
14,150
14,148
14,142
14,180
14,137
14,141
14,111
14,126
14,159
14,135
14,171
14,134
14,137
14,154
14,121
14,180
14,138
14,152
14,138
14,167
14,154
14,180
14,157
14,142
14,122
14,169
14,156
14,178
14,143
14,136
14,139
14,161
14,138
14,143
14,142
14,152
14,165
14,139
14,141
14,169
14,148
14,151
14,169
14,145
14,116
14,192
14,122
14,163
14,151
14,164
14,192
14,173
14,181
14,133
14,150
14,145
14,179
14,170
14,162
14,149
14,122
14,142
14,147
14,150
14,137
14,161
14,145
14,119
14,111
14,136
14,183
14,142
14,164
14,165
14,147
14,155
14,142
14,151
14,117
14,134
14,173
14,141
14,154
14,127
14,133
14,148
14,145
14,148
14,158
14,165
14,150
14,144
14,159
14,164
14,160
14,148
14,143
14,162
14,143
14,146
14,161
14,154
14,173
14,142
14,132
14,135
14,190
14,159
14,135
14,141
14,168
14,141
14,160
14,137
14,143
14,186
14,147
14,117
14,164
14,159
14,176
14,162
14,144
14,171
14,169
14,163
14,158
14,146
14,151
14,147
14,178
14,140
14,150
14,158
14,148
14,105
14,170
14,134
14,148
14,159
14,155
14,148
14,162
14,163
14,170
14,137
14,156
14,159
14,138
14,150
14,149
14,167
14,155
14,134
14,140
14,153
14,151
14,155
14,147
14,165
14,123
14,145
14,141
14,162
14,143
14,156
14,179
14,142
14,142
14,178
14,164
14,141
14,149
14,170
14,180
14,136
14,141
14,192
14,170
14,131
14,106
14,128
14,171
14,166
14,147
14,126
14,173
14,139
14,169
14,148
14,153
14,161
14,160
14,129
14,141
14,138
14,144
14,118
14,154
14,155
14,138
14,188
14,147
14,161
14,167
14,154
14,98
14,158
14,162
14,154
14,162
14,168
14,160
14,145
14,172
14,178
14,156
14,150
14,170
14,139
14,166
14,126
14,134
14,153
14,142
14,131
14,172
14,152
14,167
14,155
14,117
14,154
14,151
14,171
14,145
14,159
14,161
14,158
14,165
14,150
14,163
14,108
14,131
14,123
14,150
14,159
14,108
14,162
14,138
14,145
14,112
14,150
14,168
14,141
14,166
14,108
14,172
14,174
14,116
14,144
14,120
14,130
14,143
14,186
14,135
14,128
14,81
14,167
14,157
14,158
14,142
14,150
14,144
14,181
14,152
14,166
14,174
14,166
14,145
14,157
14,169
14,189
14,122
14,179
14,147
14,150
14,135
14,159
14,145
14,134
14,180
14,155
14,135
14,156
14,144
14,109
14,164
14,118
14,153
14,142
14,150
14,154
14,140
14,177
14,150
14,138
14,170
14,149
14,178
14,150
14,141
14,157
14,174
14,139
14,140
14,170
14,156
14,179
14,132
14,165
14,138
14,146
14,151
14,150
14,124
14,157
14,157
14,149
14,144
14,173
14,146
14,172
14,154
14,122
14,162
14,153
14,177
14,132
14,154
14,156
14,161
14,131
14,163
14,130
14,148
14,142
14,156
14,139
14,157
14,158
14,174
14,151
14,129
14,136
14,148
14,159
14,140
14,157
14,176
14,150
14,155
14,156
14,139
14,134
14,117
14,116
14,161
14,141
14,170
14,178
14,182
14,146
14,151
14,150
14,139
14,133
14,156
14,150
14,129
14,187
14,153
14,142
14,160
14,124
14,165
14,152
14,188
14,168
14,137
14,135
14,131
14,173
14,170
14,115
14,153
14,132
14,147
14,146
14,149
14,164
14,170
14,139
14,178
14,167
14,144
14,160
14,170
14,148
14,145
14,171
14,120
14,177
14,175
14,170
14,129
14,173
14,189
14,159
14,159
14,171
