support_pdi,borda sum
14,192
14,178
14,185
14,174
14,158
14,174
14,182
14,174
14,187
14,196
14,182
14,179
14,176
14,171
14,192
14,182
14,181
14,156
14,174
14,168
14,172
14,193
14,175
14,176
14,186
14,173
14,194
14,176
14,173
14,164
14,180
14,172
14,154
14,185
14,197
14,198
14,170
14,191
14,193
14,168
14,196
14,182
14,197
14,179
14,193
14,184
14,162
14,181
14,186
14,189
14,174
14,196
14,167
14,174
14,173
14,184
14,180
14,189
14,192
14,187
14,178
14,189
14,151
14,198
14,181
14,184
14,192
14,190
14,190
14,168
14,157
14,184
14,174
14,184
14,185
14,183
14,189
14,192
14,181
14,178
14,193
14,179
14,194
14,196
14,171
14,173
14,177
14,190
14,187
14,188
14,186
14,193
14,203
14,163
14,175
14,190
14,176
14,173
14,179
14,194
14,185
14,193
14,189
14,189
14,170
14,180
14,189
14,181
14,193
14,189
14,191
14,190
14,190
14,158
14,187
14,180
14,164
14,178
14,187
14,193
14,177
14,199
14,199
14,183
14,196
14,183
14,156
14,167
14,168
14,197
14,152
14,187
14,185
14,176
14,185
14,192
14,181
14,176
14,187
14,202
14,164
14,183
14,179
14,191
14,181
14,195
14,179
14,194
14,181
14,186
14,147
14,191
14,169
14,187
14,167
14,173
14,179
14,192
14,173
14,179
14,191
14,173
14,181
14,181
14,187
14,192
14,162
14,180
14,149
14,171
14,185
14,184
14,190
14,168
14,192
14,174
14,197
14,180
14,194
14,169
14,191
14,190
14,192
14,194
14,197
14,166
14,193
14,173
14,191
14,194
14,179
14,178
14,186
14,165
14,166
14,193
14,177
14,181
14,195
14,160
14,181
14,193
14,200
14,183
14,173
14,185
14,171
14,196
14,190
14,174
14,192
14,176
14,179
14,181
14,172
14,198
14,189
14,195
14,168
14,186
14,182
14,192
14,189
14,183
14,173
14,165
14,186
14,193
14,193
14,196
14,176
14,178
14,182
14,187
14,193
14,175
14,198
14,170
14,182
14,187
14,200
14,180
14,195
14,198
14,196
14,178
14,187
14,186
14,172
14,195
14,169
14,191
14,194
14,185
14,170
14,154
14,177
14,178
14,197
14,174
14,182
14,169
14,185
14,186
14,184
14,191
14,190
14,175
14,186
14,171
14,169
14,186
14,191
14,186
14,186
14,197
14,176
14,190
14,195
14,176
14,172
14,183
14,185
14,188
14,192
14,168
14,176
14,192
14,165
14,199
14,181
14,196
14,189
14,189
14,185
14,159
14,194
14,187
14,192
14,190
14,153
14,189
14,188
14,187
14,167
14,183
14,162
14,185
14,191
14,191
14,173
14,183
14,175
14,189
14,192
14,189
14,173
14,194
14,188
14,182
14,177
14,182
14,188
14,184
14,171
14,189
14,196
14,171
14,168
14,197
14,150
14,196
14,175
14,185
14,167
14,164
14,178
14,157
14,193
14,188
14,188
14,160
14,188
14,183
14,169
14,201
14,179
14,183
14,175
14,199
14,178
14,197
14,190
14,199
14,184
14,160
14,185
14,184
14,178
14,177
14,178
14,183
14,191
14,203
14,192
14,189
14,193
14,170
14,183
14,194
14,179
14,190
14,190
14,183
14,165
14,190
