support_pdi,borda sum
14,186
14,184
14,184
14,191
14,186
14,178
14,187
14,190
14,181
14,193
14,188
14,185
14,188
14,182
14,185
14,177
14,191
14,194
14,193
14,169
14,199
14,184
14,189
14,190
14,192
14,189
14,179
14,177
14,192
14,182
14,195
14,195
14,189
14,201
14,185
14,175
14,189
14,187
14,179
14,181
14,186
14,186
14,190
14,189
14,191
14,185
14,200
14,195
14,179
14,196
14,185
14,197
14,191
14,186
14,185
14,178
14,196
14,195
14,171
14,194
14,192
14,195
14,197
14,186
14,172
14,175
14,191
14,191
14,190
14,197
14,187
14,193
14,197
14,181
14,177
14,182
14,179
14,194
14,192
14,186
14,187
14,193
14,191
14,191
14,190
14,186
14,185
14,181
14,176
14,184
14,195
14,170
14,170
14,190
14,176
14,187
14,195
14,175
14,190
14,187
