support_pdi,borda sum
14,138
14,157
14,174
14,177
14,149
14,139
14,141
14,166
14,141
14,155
14,183
14,160
14,170
14,132
14,158
14,158
14,164
14,145
14,142
14,185
14,174
14,153
14,159
14,152
14,135
14,142
14,162
14,157
14,150
14,122
14,152
14,174
14,183
14,162
14,131
14,166
14,150
14,166
14,151
14,159
14,147
14,171
14,147
14,154
14,141
14,181
14,137
14,124
14,104
14,151
14,147
14,137
14,154
14,129
14,149
14,176
14,187
14,114
14,159
14,145
14,140
14,153
14,159
14,167
14,146
14,140
14,167
14,148
14,143
14,157
14,150
14,167
14,142
14,164
14,155
14,141
14,163
14,152
14,169
14,163
14,174
14,157
14,159
14,159
14,130
14,143
14,162
14,152
14,125
14,140
14,137
14,144
14,140
14,148
14,123
14,158
14,169
14,146
14,161
14,171
