dispersion,suitors borda_mean,suitors borda_stdev,reviewers borda_mean,reviewers borda_stdev
0.0,105,0.0,105,0.0
0.025,105.705,0.8403072195599945,105,0.0
0.05,106.4444,1.2343473427980207,105,0.0
0.075,107.2152,1.5086895601275192,105,0.0
0.1,108.0076,1.7568607093080493,105,0.0
0.125,108.8232,2.0264163028870747,105,0.0
0.15,109.6924,2.2773711871157016,105,0.0
0.175,110.6168,2.4853154967978863,105,0.0
0.2,111.602,2.753309307438684,105,0.0
0.225,112.6984,2.9966703934015397,105,0.0
0.25,113.7646,3.269759181502669,105,0.0
0.275,114.9594,3.5188390252492545,105,0.0
0.3,116.3288,3.786074145006447,105,0.0
0.325,117.7926,4.040006134885687,105,0.0
0.35,119.1236,4.292645850950243,105,0.0
0.375,120.6628,4.586338742462458,105,0.0
0.4,122.4678,4.908419468254039,105,0.0
0.425,124.351,5.203269530089764,105,0.0
0.45,126.4322,5.486038870122677,105,0.0
0.475,128.5232,5.856852593711139,105,0.0
0.5,130.7248,6.222668983792756,105,0.0
0.525,133.4738,6.592207900316873,105,0.0
0.55,136.0404,6.839979890685425,105,0.0
0.575,138.9204,7.1229074823558145,105,0.0
0.6,141.9732,7.489599493972693,105,0.0
0.625,145.0672,7.814889548786467,105,0.0
0.65,148.29,8.182230122525006,105,0.0
0.675,151.8066,8.343783325568612,105,0.0
0.7,155.4954,8.510138855075546,105,0.0
0.725,159.0842,8.706059352766369,105,0.0
0.75,163.0166,8.877774913652829,105,0.0
0.775,166.7006,8.840553756306425,105,0.0
0.8,170.4436,8.804676229407924,105,0.0
0.825,174.0518,8.776885752059266,105,0.0
0.85,176.8518,8.304940166324695,105,0.0
0.875,179.8442,8.271324520405686,105,0.0
0.9,182.326,7.851525539069343,105,0.0
0.925,184.1272,7.549464818370158,105,0.0
0.95,185.7566,7.426573048011275,105,0.0
0.975,186.6332,7.285936778132719,105,0.0
1.0,186.8926,7.272664131438612,105,0.0
