dispersion,suitors borda_mean,suitors borda_stdev,reviewers borda_mean,reviewers borda_stdev
0.0,105,0.0,111.586,2.7390700065716063
0.025,105.623,0.8470032366505923,111.5062,2.7707574739402725
0.05,106.2704,1.2229402915070378,111.3492,2.807710100277705
0.075,106.9948,1.5548815039411394,111.1736,2.8088860796055153
0.1,107.693,1.779489903557582,111.0566,2.783836631212014
0.125,108.5222,2.0735397448360335,110.9088,2.8670065408542516
0.15,109.3488,2.3559814705845943,110.7798,2.8817655828632063
0.175,110.278,2.5772940245338285,110.5928,2.8552090297771096
0.2,111.2758,2.831490389806314,110.4862,2.885389861861129
0.225,112.2426,3.1143032956029506,110.3114,2.883624992716585
0.25,113.3164,3.3248912794863053,110.1592,2.919924751104114
0.275,114.5576,3.5629231151155714,110.0704,2.9258769610491555
0.3,115.8676,3.9023474862165513,109.9316,2.9997868564677805
0.325,117.1824,4.07627936367101,109.8408,2.877066363880478
0.35,118.6694,4.433151723868852,109.7018,2.977154589518317
0.375,120.3384,4.727489320035976,109.5604,2.9948865937029785
0.4,122.0774,4.998680486020312,109.37,2.932510856584302
0.425,123.942,5.3298703083190215,109.308,2.9923447036337696
0.45,126.0976,5.704750921522808,109.1206,3.0283807320037543
0.475,128.2474,5.979777988266604,108.8988,2.999526294533575
0.5,130.3198,6.2812274854318675,108.9058,3.0179376980961545
0.525,132.881,6.786107076214607,108.6934,3.0736437492298023
0.55,135.573,6.965369643806061,108.5326,3.0761062605094103
0.575,138.378,7.197185275868549,108.3412,3.0764062500071434
0.6,141.6048,7.590345158681888,108.3508,3.0913509425702586
0.625,144.7398,7.9381294232172825,108.1542,3.049242846410774
0.65,147.938,8.142027666552393,107.943,3.007916307363358
0.675,151.4394,8.30843749851519,107.8054,3.0973294190166443
0.7,155.3038,8.664370711365297,107.6312,3.0601731146943925
0.725,158.961,8.874121308941024,107.5464,3.0739773758733935
0.75,162.7686,8.911977261401734,107.4074,3.108401143921792
0.775,166.464,8.93023257316192,107.3212,3.1065029586540596
0.8,169.942,8.926150975322278,107.2082,3.1122323110577073
0.825,173.3486,8.621040685932396,107.0324,3.051886800425029
0.85,176.7696,8.660965206237739,106.8744,3.0620417795928248
0.875,179.5416,8.307832055036437,106.7688,3.044076188265989
0.9,182.07,8.012836021548278,106.7244,3.087709738671376
0.925,184.3478,7.789131483923915,106.621,3.0526746902598236
0.95,185.3098,7.59824786606273,106.5016,3.058016960964525
0.975,186.2698,7.485333259301189,106.5572,3.0661716262610508
1.0,186.6254,7.391400503306532,106.4932,3.0266459781704627
