dispersion,suitors borda_mean,suitors borda_stdev,reviewers borda_mean,reviewers borda_stdev
0.0,105,0.0,122.5256,4.895808250706469
0.025,105.4898,0.8715778161345753,122.369,4.963442973705918
0.05,106.0294,1.2520579738310709,122.2496,4.894455125771984
0.075,106.5794,1.5592889136985733,121.8994,4.901804277716054
0.1,107.2038,1.8387337350333435,121.895,5.082316498231652
0.125,107.868,2.1637727196904244,121.6122,5.050119988909222
0.15,108.6026,2.391948478438593,121.3396,5.031235882653623
0.175,109.3552,2.681505370908446,121.2448,5.081578243763397
0.2,110.193,2.9116741866688765,120.901,5.151476151678105
0.225,111.258,3.1612394225900364,120.7226,5.140012955882244
0.25,112.263,3.4538987946054056,120.4906,5.244979847694417
0.275,113.3092,3.851981686428755,120.3362,5.338170920245505
0.3,114.545,4.048660683567609,119.9794,5.282097665809506
0.325,115.9072,4.3537546090517285,119.5784,5.334298865725258
0.35,117.2944,4.755570599869807,119.4848,5.462685891338571
0.375,118.866,5.0203470773399115,119.0406,5.399739167461269
0.4,120.644,5.262433148319141,118.8098,5.416667981185821
0.425,122.4158,5.592599198329756,118.339,5.403176645601429
0.45,124.3556,5.891493068663972,118.0518,5.529921587740039
0.475,126.4356,6.327041878459977,117.9974,5.622963345368407
0.5,128.807,6.6375418938398045,117.429,5.451064283272036
0.525,131.2512,7.009274181033938,117.0812,5.615381826965333
0.55,134.1082,7.236419412470689,116.6304,5.614846493024368
0.575,136.7678,7.649992656044025,116.1478,5.621020755598308
0.6,140.0778,8.034939900947759,115.8536,5.779415832891235
0.625,143.289,8.341786144418702,115.3592,5.756353227564835
0.65,146.726,8.352944291426056,115.0052,5.625397939736893
0.675,150.256,9.009611457755764,114.5432,5.601643459011683
0.7,153.93,9.106551809393688,114.2084,5.670114591425466
0.725,157.808,9.1348905436819,113.6216,5.850919593706481
0.75,161.681,9.276402822746864,113.1662,5.901384822951789
0.775,165.5574,9.316827029261551,112.953,5.904080168199489
0.8,169.1942,9.340724607183184,112.4758,5.829838056271587
0.825,172.774,9.05925703507774,111.982,5.861752982649979
0.85,176.2268,8.873506047888647,111.4844,5.779622604244112
0.875,179.123,8.795506988720874,111.3048,5.977946480926855
0.9,181.709,8.463441673987822,110.7452,5.885745947717436
0.925,183.636,8.158873540108873,110.7434,5.810396594184974
0.95,185.2662,7.987396150151305,110.3522,5.864557422922325
0.975,185.9062,7.7688784682559495,110.4226,5.874530726981726
1.0,186.5568,7.673965839795097,110.3214,5.77989476346199
