dispersion,mean,stddev
0.0,120,0.0
0.025,119.513,0.8630063475961218
0.05,119.0066,1.2519065036889918
0.075,118.3966,1.5569821060807767
0.1,117.8278,1.8673094357673505
0.125,117.1226,2.116616463379847
0.15,116.3966,2.4365746077565187
0.175,115.6218,2.641923676441549
0.2,114.7348,2.9467618908096775
0.225,113.8228,3.265138953624684
0.25,112.7358,3.53220804295723
0.275,111.7704,3.7671371231242543
0.3,110.3982,4.069956961680797
0.325,109.1548,4.338824960793888
0.35,107.6504,4.713111766604405
0.375,106.145,4.873717844225805
0.4,104.4698,5.311603391266824
0.425,102.6616,5.670583439409799
0.45,100.5946,5.997653308506737
0.475,98.6084,6.2531008063151186
0.5,96.077,6.615241740454912
0.525,93.5212,6.941583945868227
0.55,91.1098,7.240568287491333
0.575,88.2336,7.5749922205523275
0.6,85.0308,7.888389994120465
0.625,81.9314,8.206836447309925
0.65,78.383,8.516291237580397
0.675,74.4186,8.879028182650039
0.7,70.949,9.010606927806888
0.725,67.2326,9.21630540385134
0.75,63.3,9.357623257141983
0.775,59.426,9.34473053639106
0.8,55.8288,9.428959201010622
0.825,52.3666,9.078958637310096
0.85,48.838,8.999886421012114
0.875,45.854,8.666954899008319
0.9,43.3396,8.4454329023077
0.925,41.2538,8.125822503492902
0.95,39.6516,7.9058407461560165
0.975,38.853,7.667538668298059
1.0,38.5302,7.525637182524853
