dispersion,mean,stddev
0.0,120,0.0
0.025,119.3882,0.8383563253567382
0.05,118.7186,1.2108291627856882
0.075,118.0298,1.510022514268817
0.1,117.2704,1.8060831174797711
0.125,116.4616,2.0684731461228223
0.15,115.6324,2.3310849472737543
0.175,114.766,2.563700160257112
0.2,113.7872,2.83533489817287
0.225,112.77,3.0492883812336258
0.25,111.7,3.3459586201591858
0.275,110.3816,3.6045776501564233
0.3,109.241,3.932888572347874
0.325,107.7632,4.11875206630804
0.35,106.3848,4.449886432017291
0.375,104.6164,4.778265103934763
0.4,102.8102,5.050671026266026
0.425,101.1362,5.372804013231166
0.45,99.0904,5.592967378486966
0.475,97.015,5.97095515483848
0.5,94.6416,6.27756569110999
0.525,92.1482,6.671726849012148
0.55,89.4024,6.975199274643284
0.575,86.7148,7.385497280076326
0.6,83.7192,7.606649958077271
0.625,80.1148,8.056810994474187
0.65,76.8622,8.085065541908946
0.675,73.2876,8.595770104693269
0.7,69.7452,8.622873520442585
0.725,66.1492,8.835075046099723
0.75,62.3148,8.831721282975591
0.775,58.4716,9.146667466632262
0.8,54.7112,8.701708941794223
0.825,51.4068,8.639620499100277
0.85,48.3172,8.656441009686997
0.875,45.1826,8.253682929237062
0.9,42.7442,8.081474395534588
0.925,40.7754,7.710619013355142
0.95,39.4272,7.568999809196875
0.975,38.4642,7.477506334346768
1.0,37.98,7.382066037349975
