dispersion,mean,stddev
0.0,120,0.0
0.025,119.2876,0.8348806172914938
0.05,118.5512,1.2068429284587097
0.075,117.777,1.4991065552831189
0.1,117.032,1.751339326883165
0.125,116.1806,2.024352548507332
0.15,115.336,2.2691262165770665
0.175,114.3072,2.5665824804836928
0.2,113.3392,2.753190761984061
0.225,112.2858,3.0205865570497603
0.25,111.2248,3.277379014188095
0.275,110.0212,3.489181198660714
0.3,108.751,3.7426461868704632
0.325,107.3272,4.054063053955758
0.35,105.7652,4.384599628561376
0.375,104.1508,4.590977540236392
0.4,102.3828,4.966447148561625
0.425,100.5788,5.2886845809633405
0.45,98.7608,5.54957141665748
0.475,96.4822,5.810304216391548
0.5,94.3304,6.1435156382058125
0.525,91.686,6.632209378498846
0.55,89.0744,6.759260474373812
0.575,86.1516,7.256772670403696
0.6,83.0456,7.544302747158823
0.625,80.122,7.732313608147755
0.65,76.477,8.159435414123667
0.675,72.9676,8.5363882423918
0.7,69.2572,8.32469268271522
0.725,65.9276,8.688558939852468
0.75,61.9726,8.909889251011657
0.775,58.2546,8.801185773190044
0.8,54.7284,8.830596204439718
0.825,51.1422,8.684507084035255
0.85,47.9976,8.355283142496026
0.875,44.9958,8.138367708932373
0.9,42.8506,7.9033393065487765
0.925,40.895,7.663035914302163
0.95,39.1792,7.493244764681098
0.975,38.4164,7.306249879210229
1.0,38.2688,7.095563118117733
