dispersion,mean,stddev
0.0,120,0.0
0.025,119.3045,0.8387193183714686
0.05,118.5709,1.1858810317152975
0.075,117.8091,1.4989602657134773
0.1,116.9787,1.7786406793578704
0.125,116.1335,2.0303915876007514
0.15,115.3338,2.2319219761386724
0.175,114.378,2.5098099359496246
0.2,113.4179,2.763371710849127
0.225,112.3034,3.033886762370786
0.25,111.2083,3.2485329622216645
0.275,109.978,3.5551905628241363
0.3,108.6985,3.791363236821203
0.325,107.2677,4.0478482206626465
0.35,105.8426,4.308721590933303
0.375,104.219,4.667228010471544
0.4,102.4836,4.9183076372875965
0.425,100.6058,5.193563677318979
0.45,98.644,5.554813191724768
0.475,96.4054,5.849518999648836
0.5,94.2011,6.200105073326744
0.525,91.6647,6.605439962160687
0.55,89.0348,6.7842605771858375
0.575,86.1527,7.221855594639301
0.6,83.1006,7.433290322629814
0.625,79.9067,7.818088472301658
0.65,76.5176,8.162570244432787
0.675,73.0215,8.396325838053087
0.7,69.4936,8.484901790583057
0.725,65.7628,8.628417069086995
0.75,62.131,8.708009068793752
0.775,58.4243,8.654707384192177
0.8,54.8032,8.726596421773545
0.825,51.207,8.543292678176167
0.85,48.068,8.54013286705416
0.875,45.1955,8.257826525175496
0.9,42.6326,7.960549872680124
0.925,40.6655,7.756482840347503
0.95,39.2436,7.467612440636991
0.975,38.4124,7.294274938929055
1.0,38.0909,7.2476541059161965
