dispersion,mean,stddev
0.0,0,0.0
0.05,5.92,1.5253414918196733
0.1,10.44,1.5297058540778354
0.15000000000000002,14.16,1.885912687975418
0.2,19.32,2.4447222064411873
0.25,25,2.6299556396765835
0.30000000000000004,31.96,3.769173207305107
0.35000000000000003,40.52,3.8310137909783966
0.4,50.48,4.7881798908005395
0.45,63.08,4.182503237695499
0.5,77.28,5.74108003776293
0.55,93.48,5.355059912518875
0.6000000000000001,113.36,3.6157064777624486
0.65,136.44,5.370288632839021
0.7000000000000001,160.6,6.123724356957945
0.75,187.56,6.035174672976196
0.8,211.28,6.154402218466605
0.8500000000000001,229.4,3.7969285832981723
0.9,238.52,3.9382737335030433
0.9500000000000001,242.56,2.4508501926202397
1.0,245.16,1.7
