dispersion,mean,stddev
0.0,0,0.0
0.04,496.9735111111109,51.132637509133765
0.08,993.8723555555534,70.50501547290402
0.12,1501.620444444455,83.20557923413442
0.16,2016.8123555555871,96.38638488432365
0.2,2555.5787555556476,113.52477328090278
0.24,3132.6572444445883,127.47098021463975
0.28,3733.643466666849,139.85250586362594
0.32,4353.737688889006,145.72004193326848
0.36,5019.679555555558,160.71487352902
0.4,5732.245866666637,170.51057483235004
0.44,6468.830044444459,199.45488569969888
0.48,7238.200888888971,210.6975976442035
0.52,8072.423022222345,183.8606810051689
0.56,8917.77608888887,208.84851930563087
0.6,9797.534577777566,213.8220078317094
0.64,10697.04942222188,220.98021943160526
0.68,11561.395822221823,206.72372974962457
0.72,12376.1392888885,195.39994645067597
0.76,13182.027199999675,187.94320844815644
0.8,13885.120533333087,150.95339473406838
0.84,14488.524088888726,131.5228271693264
0.88,14972.197066666577,100.82833459872171
0.92,15302.498577777746,70.5228172469411
0.96,15495.883733333323,46.124709307008274
1.0,15560.446399999997,21.60621390888119
