dispersion,mean,stddev
0.0,0,0.0
0.04,21.32,3.121630713786147
0.08,44.312,4.436822916272572
0.12,70.136,5.06796221018423
0.16,96.96,6.517076733983306
0.2,124.256,6.720350918357125
0.24,152.588,6.980916039820281
0.28,178.256,6.684999692111746
0.32,200.224,6.580199091237383
0.36,217.348,5.467951166555839
0.4,230.076,4.413176691914366
0.44,238.364,3.254824037958471
0.48,243.552,2.5834070464933485
0.52,245.996,1.7550798331937878
0.56,247.52,1.2775478519633716
0.6,248.18,0.8428770770808002
0.64,248.592,0.6221610220428451
0.68,248.856,0.3739295296880025
0.72,248.92,0.27183741892777985
0.76,248.972,0.1653036636158415
0.8,248.976,0.1533560311469902
0.84,248.976,0.1533560311469902
0.88,248.984,0.12572680269402642
0.92,248.988,0.10910368672886964
0.96,248.996,0.06324555320336758
1.0,248.996,0.06324555320336758
